AP,Modelo,Serial,IP,MAC,Firmware,Perfil,Ubicacion,Estado,Switch,Puerto,Uplink_Mbps,Duplex,PoE,Clientes,Banda,Canal,Ancho,Potencia_cfg_%,Potencia_oper_dBm,Utilizacion_%,Ruido_dBm,RSSI_medio_clientes,SNR_medio,Retries_%,MAC_errors_TX,Drops_RX_wired,Estado_radio
FP221E,FAP-221E,FP221E,0.0.0.0,00:00:00:00:00:00,,FAP221E-default,,connecting/discovered,,,,down,auto,0,2.4 GHz,0,20 MHz (perfil),100,0,0,0,,,0,0,,good
FP221E,FAP-221E,FP221E,0.0.0.0,00:00:00:00:00:00,,FAP221E-default,,connecting/discovered,,,,down,auto,0,5 GHz,0,20 MHz (perfil),100,0,0,0,,,0,0,,good
FP221E5520099A17,FAP-221E,FP221E5520099A17,10.20.40.33,e0:23:ff:c4:7c:b8,FP221E-v7.0-build0115,FORALL,,connected/authorized,FS224D3Z14001698,port9,1000,full,auto,2,2.4 GHz,11,20 MHz (perfil),100,27,18,-90,-61.5,28.5,0,1101583,1560027,good
FP221E5520099A17,FAP-221E,FP221E5520099A17,10.20.40.33,e0:23:ff:c4:7c:b8,FP221E-v7.0-build0115,FORALL,,connected/authorized,FS224D3Z14001698,port9,1000,full,auto,11,5 GHz,149,20 MHz (perfil),100,28,10,-95,-64.5,30.5,0,935469,1560027,good
FP221E5520099AAH,FAP-221E,FP221E5520099AAH,10.20.40.26,e0:23:ff:c4:9a:58,FP221E-v7.0-build0115,FORALL,,connected/authorized,FS224D3Z14001687,port2,1000,full,auto,1,2.4 GHz,6,20 MHz (perfil),100,27,34,-91,-68.0,23.0,0,2113074,1559997,good
FP221E5520099AAH,FAP-221E,FP221E5520099AAH,10.20.40.26,e0:23:ff:c4:9a:58,FP221E-v7.0-build0115,FORALL,,connected/authorized,FS224D3Z14001687,port2,1000,full,auto,15,5 GHz,124,20 MHz (perfil),100,20,25,-95,-63.6,31.4,0,268267,1559997,good
FP221E5520099ACV,FAP-221E,FP221E5520099ACV,10.20.40.242,e0:23:ff:c4:a1:d8,FP221E-v7.0-build0115,FORALL,,connected/authorized,FS224D3Z14000932,port2,1000,full,auto,0,2.4 GHz,6,20 MHz (perfil),100,27,21,-91,,,0,1109622,1560093,good
FP221E5520099ACV,FAP-221E,FP221E5520099ACV,10.20.40.242,e0:23:ff:c4:a1:d8,FP221E-v7.0-build0115,FORALL,,connected/authorized,FS224D3Z14000932,port2,1000,full,auto,2,5 GHz,132,20 MHz (perfil),100,20,1,-95,-46.5,48.5,0,190130,1560093,good
FP221ETF22078748,FAP-221E,FP221ETF22078748,10.20.40.50,84:39:8f:23:75:18,FP221E-v7.0-build0115,FAP221E-default,,connected/authorized,FS224D3Z14001698,port11,1000,full,auto,1,2.4 GHz,6,20 MHz (perfil),100,27,29,-95,-59.0,36.0,0,799997,1560043,good
FP221ETF22078748,FAP-221E,FP221ETF22078748,10.20.40.50,84:39:8f:23:75:18,FP221E-v7.0-build0115,FAP221E-default,,connected/authorized,FS224D3Z14001698,port11,1000,full,auto,5,5 GHz,48,20 MHz (perfil),100,29,2,-95,-68.2,26.8,0,328235,1560043,good
FP221ETF22078762,FAP-221E,FP221ETF22078762,10.20.40.32,84:39:8f:23:76:68,FP221E-v7.0-build0115,FAP221E-default,,connected/authorized,FS224D3Z14001687,port4,1000,full,auto,0,2.4 GHz,1,20 MHz (perfil),100,27,38,-95,,,0,1595486,1559986,good
FP221ETF22078762,FAP-221E,FP221ETF22078762,10.20.40.32,84:39:8f:23:76:68,FP221E-v7.0-build0115,FAP221E-default,,connected/authorized,FS224D3Z14001687,port4,1000,full,auto,12,5 GHz,161,20 MHz (perfil),100,29,6,-95,-55.8,39.2,0,203662,1559986,good
FP221ETF22078983,FAP-221E,FP221ETF22078983,10.20.40.30,84:39:8f:23:8b:20,FP221E-v7.0-build0115,FAP221E-default,Piso 1,connected/authorized,,,1000,full,auto,2,2.4 GHz,1,20 MHz (perfil),100,27,18,-95,-72.5,22.5,0,936626,1,good
FP221ETF22078983,FAP-221E,FP221ETF22078983,10.20.40.30,84:39:8f:23:8b:20,FP221E-v7.0-build0115,FAP221E-default,Piso 1,connected/authorized,,,1000,full,auto,29,5 GHz,165,20 MHz (perfil),100,24,7,-95,-55.9,39.1,0,461123,1,good
