Switch,Modelo_FW,Puerto,VLAN,Link,Velocidad,Duplex,FortiLink,ISL_peer,Dispositivo_inferido,PoE_budget_switch,RX_errors,TX_errors,CRC,RX_drops,TX_drops,Collisions,Estado
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port1,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port2,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port3,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port4,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port5,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port6,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port7,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port8,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port9,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port10,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port11,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port12,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port13,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port14,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port15,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port16,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port17,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port18,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port19,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port20,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port21,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port22,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port23,vsw.fortilink,down,0,,False,,,0,0,0,0,0,0,0,down
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port24,vsw.fortilink,up,1000,full,True,,FG100ETK19012927,0,0,0,0,266,823,0,OK
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port25,vsw.fortilink,up,1000,full,False,FS224D3Z14001687,,0,0,0,0,0,16,0,OK
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port26,vsw.fortilink,up,1000,full,False,FS224D3Z14001985,,0,0,0,0,9,2,0,OK
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port27,vsw.fortilink,up,1000,full,False,FS224D3Z14002019,,0,0,0,0,1,73,0,OK
S424ENTF20000399,"FS424E S424EN-v7.4.2-build801,231207 (GA)",port28,vsw.fortilink,up,1000,full,False,FS224D3Z14001698,,0,0,0,0,50,107,0,OK
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port1,Vlan30,up,1000,full,False,,,180,0,0,0,707,0,0,OK
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port2,Vlan30,up,1000,full,False,,,180,0,0,0,0,0,0,OK
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port3,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port4,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port5,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port6,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port7,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port8,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port9,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port10,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port11,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port12,Vlan30,up,1000,full,False,,,180,0,0,0,287,0,0,OK
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port13,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port14,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port15,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port16,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port17,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port18,Vlan30,up,1000,full,False,,,180,0,0,0,11067,0,0,drops_altos
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port19,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port20,Vlan30,up,100,full,False,,,180,0,0,0,0,0,0,100Mbps
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port21,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port22,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port23,vsw.fortilink,up,1000,full,False,S424ENTF20000399,,180,0,0,0,29,0,0,OK
FS224D3Z14001985,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port24,Vlan30,up,1000,full,False,,,180,0,0,0,1349,0,0,OK
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port1,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port2,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port3,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port4,Vlan30,up,100,full,False,,,180,0,0,0,0,0,0,100Mbps
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port5,Vlan30,up,100,full,False,,,180,0,0,0,0,0,0,100Mbps
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port6,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port7,Vlan30,up,100,full,False,,,180,0,0,0,0,0,0,100Mbps
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port8,Vlan30,up,100,full,False,,,180,0,0,0,0,0,0,100Mbps
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port9,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port10,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port11,Vlan30,up,100,full,False,,,180,0,0,0,0,0,0,100Mbps
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port12,Vlan30,up,100,full,False,,,180,0,0,0,0,0,0,100Mbps
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port13,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port14,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port15,Vlan30,up,100,full,False,,,180,0,0,0,0,0,0,100Mbps
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port16,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port17,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port18,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port19,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port20,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port21,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port22,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port23,vsw.fortilink,up,1000,full,False,S424ENTF20000399,,180,0,0,0,2022608,0,0,drops_altos
FS224D3Z14002019,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port24,vsw.fortilink,up,1000,full,False,FS224D3Z14000932,,180,0,0,0,0,0,0,OK
FS224D3Z14001687,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port1,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001687,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port2,Vlan30,up,1000,full,False,,FP221E5520099AAH,180,0,0,0,0,0,0,OK
FS224D3Z14001687,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port3,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001687,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port4,Vlan30,up,1000,full,False,,FP221ETF22078762,180,0,0,0,0,0,0,OK
FS224D3Z14001687,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port5,Vlan30,up,100,full,False,,,180,0,0,0,0,0,0,100Mbps
FS224D3Z14001687,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port6,Vlan30,up,100,full,False,,,180,0,0,0,0,0,0,100Mbps
FS224D3Z14001687,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port7,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001687,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port8,Vlan30,up,100,full,False,,,180,0,0,0,0,0,0,100Mbps
FS224D3Z14001687,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port9,Vlan30,up,1000,full,False,,,180,0,0,0,0,0,0,OK
FS224D3Z14001687,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port10,Vlan30,down,0,,False,,,180,0,0,0,0,0,0,down
FS224D3Z14001687,"FS224D-POE FS224D-v3.6.11-build432,191108 (GA)",port11,Vlan30,up,100,full,False,,,180,0,0,0,0,0,0,100Mbps
