Hostname,MAC,IP,AP,SSID,VAP,Banda,Canal,RSSI,Clase_RSSI,SNR,TX_Mbps,RX_Mbps,Retries_%,Discards_%,VLAN,OS,11k,11v,11r,Asociacion_UTC,Estado
A13-de-Capital,ee:29:24:24:69:63,10.10.13.35,FP221ETF22078748,LaSociedad_Guest,Invitados,2.4 GHz,6,-59,Bueno,36,65.0,65.0,0,0,0,Android,True,True,False,2026-09-15 18:07 UTC,OK
Barbara-s-iPhone-2,b2:db:cc:27:1f:7d,10.10.13.89,FP221E5520099AAH,LaSociedad_Guest,Invitados,5 GHz,124,-68,Aceptable,27,156.0,117.0,0,0,0,iOS,False,False,False,2026-09-15 15:14 UTC,OK
A34,72:76:fe:68:c9:e9,10.10.13.22,FP221ETF22078762,LaSociedad_Guest,Invitados,5 GHz,161,-60,Bueno,35,173.0,173.0,0,0,0,Windows,True,True,False,2026-09-15 17:52 UTC,OK
Android,f4:bf:80:0f:1f:7a,10.10.13.25,FP221E5520099A17,LaSociedad_Guest,Invitados,2.4 GHz,11,-65,Bueno,25,65.0,1.0,0,0,0,Android,False,False,False,2026-09-15 13:23 UTC,OK
Jorge,0a:eb:3d:b8:4e:09,10.10.13.68,FP221ETF22078983,LaSociedad_Guest,Invitados,5 GHz,165,-55,Excelente,40,173.0,156.0,0,0,0,iOS,False,False,False,2026-09-15 13:45 UTC,OK
MAC-031FF5,16:77:2c:4a:54:5c,10.10.13.74,FP221ETF22078983,LaSociedad_Guest,Invitados,5 GHz,165,-56,Bueno,39,173.0,156.0,0,0,0,macOS,False,False,False,2026-09-15 12:54 UTC,OK
Redmi-Note-14,ca:0e:6b:2f:67:be,10.10.13.9,FP221E5520099ACV,LaSociedad_Guest,Invitados,5 GHz,132,-48,Excelente,47,78.0,78.0,0,0,0,Android,True,True,False,2026-09-15 17:25 UTC,OK
,3e:d1:4a:27:e8:0f,10.10.11.178,FP221ETF22078748,LaSociedad,Empleados,5 GHz,48,-71,Malo,24,104.0,65.0,0,0,0,,False,False,False,2026-09-15 18:06 UTC,Senal_debil
,d2:b4:ba:d1:be:06,10.10.11.63,FP221ETF22078748,LaSociedad,Empleados,5 GHz,48,-67,Aceptable,28,130.0,52.0,0,0,0,,False,False,False,2026-09-15 17:54 UTC,OK
,8a:02:46:8a:ca:9b,10.10.11.101,FP221ETF22078748,LaSociedad,Empleados,5 GHz,48,-64,Bueno,31,156.0,117.0,0,0,0,,False,False,False,2026-09-15 17:49 UTC,OK
MacBookAir,82:18:dc:b6:01:af,10.10.11.70,FP221ETF22078748,LaSociedad,Empleados,5 GHz,48,-68,Aceptable,27,173.0,117.0,0,0,0,,False,False,False,2026-09-15 15:02 UTC,OK
MacBookAir,1e:47:7f:c1:2e:dd,10.10.11.22,FP221ETF22078748,LaSociedad,Empleados,5 GHz,48,-71,Malo,24,173.0,104.0,0,0,0,,False,False,False,2026-09-15 13:12 UTC,Senal_debil
,ca:3d:09:ce:d9:44,10.10.11.56,FP221E5520099AAH,LaSociedad,Empleados,5 GHz,124,-68,Aceptable,27,6.0,0.0,0,0,0,,False,False,False,2026-09-15 18:12 UTC,OK
,2e:ca:5e:93:f2:9d,10.10.11.46,FP221E5520099AAH,LaSociedad,Empleados,5 GHz,124,-87,Critico,8,6.0,0.0,0,6,0,,False,False,False,2026-09-15 18:12 UTC,Critico
,42:39:97:39:f0:b6,10.10.11.181,FP221E5520099AAH,LaSociedad,Empleados,5 GHz,124,-63,Bueno,32,173.0,156.0,0,0,0,,False,False,False,2026-09-15 18:07 UTC,OK
iPhone,62:a3:69:a1:35:db,10.10.11.43,FP221E5520099AAH,LaSociedad,Empleados,5 GHz,124,-63,Bueno,32,173.0,130.0,0,0,0,,False,False,False,2026-09-15 17:23 UTC,OK
,ce:46:7c:25:cd:7c,10.10.11.52,FP221E5520099AAH,LaSociedad,Empleados,5 GHz,124,-63,Bueno,32,173.0,156.0,0,0,0,,False,False,False,2026-09-15 17:17 UTC,OK
