f1,f1_activation,f1_fulfill_date,f1_day_offset,f1_fulfill_lottery,f2,f2_origin,f2_confirmer,same_day_new_strong
50,2019-07-24,2019-07-29,5,New York 2:30,5,37,50,True
50,2019-07-24,2019-07-29,5,New York 2:30,10,37,1,True
90,2019-07-27,2019-08-01,5,Quiniela Leidsa,23,42,73,True
90,2019-07-27,2019-08-01,5,Quiniela Leidsa,71,42,89,True
71,2019-08-01,2019-08-02,1,Gana Mas,26,28,34,True
71,2019-08-01,2019-08-02,1,Gana Mas,100,38,1,True
72,2019-08-06,2019-08-07,1,Gana Mas,53,28,29,True
53,2019-08-07,2019-08-11,4,Quiniela Loteka,29,41,9,True
53,2019-08-07,2019-08-11,4,Quiniela Loteka,42,37,9,True
53,2019-08-07,2019-08-11,4,Quiniela Loteka,89,48,41,True
53,2019-08-07,2019-08-11,4,Quiniela Loteka,93,41,48,True
96,2019-08-09,2019-08-10,1,Quiniela Real,23,42,73,True
96,2019-08-09,2019-08-10,1,Quiniela Real,77,32,73,True
77,2019-08-10,2019-08-15,5,Quiniela Loteka,87,33,77,True
29,2019-08-11,2019-08-12,1,Gana Mas,85,36,52,True
89,2019-08-11,2019-08-12,1,Quiniela Loteka,85,36,52,True
93,2019-08-11,2019-08-12,1,New York 10:30,85,36,52,True
42,2019-08-11,2019-08-13,2,Quiniela Leidsa,68,47,76,True
42,2019-08-11,2019-08-13,2,Quiniela Leidsa,84,47,94,True
85,2019-08-12,2019-08-14,2,Quiniela Real,52,38,85,True
84,2019-08-13,2019-08-14,1,New York 2:30,52,38,85,True
52,2019-08-14,2019-08-17,3,Loteria Nacional,71,42,12,True
87,2019-08-15,2019-08-21,6,New York 10:30,80,45,8,True
71,2019-08-17,2019-08-18,1,Quiniela Loteka,22,44,7,True
71,2019-08-17,2019-08-18,1,Quiniela Loteka,70,44,7,True
22,2019-08-18,2019-08-20,2,New York 2:30,29,41,22,True
22,2019-08-18,2019-08-20,2,New York 2:30,69,45,57,True
40,2019-09-03,2019-09-08,5,Quiniela Loteka,11,35,91,True
40,2019-09-03,2019-09-08,5,Quiniela Loteka,53,28,35,True
91,2019-09-07,2019-09-08,1,Quiniela Real,11,35,91,True
91,2019-09-07,2019-09-08,1,Quiniela Real,53,28,35,True
42,2019-09-11,2019-09-12,1,New York 2:30,44,43,63,True
42,2019-09-11,2019-09-12,1,New York 2:30,76,34,68,True
42,2019-09-11,2019-09-12,1,New York 2:30,92,43,68,True
76,2019-09-11,2019-09-14,3,Loteria Nacional,16,27,25,True
76,2019-09-12,2019-09-14,2,Loteria Nacional,16,27,25,True
16,2019-09-14,2019-09-19,5,Quiniela Loteka,9,39,70,True
16,2019-09-14,2019-09-19,5,Quiniela Loteka,25,30,16,True
60,2019-09-16,2019-09-20,4,Quiniela Leidsa,7,42,35,True
60,2019-09-16,2019-09-20,4,Quiniela Leidsa,11,35,57,True
60,2019-09-16,2019-09-20,4,Quiniela Leidsa,86,35,19,True
9,2019-09-19,2019-09-22,3,Quiniela Leidsa,57,30,91,True
25,2019-09-19,2019-09-22,3,Quiniela Real,57,30,91,True
7,2019-09-20,2019-09-26,6,Quiniela Real,26,28,59,True
11,2019-09-20,2019-09-25,5,New York 2:30,69,45,11,True
11,2019-09-20,2019-09-25,5,New York 2:30,80,45,8,True
87,2019-09-21,2019-09-25,4,Loteria Nacional,69,45,11,True
87,2019-09-21,2019-09-25,4,Loteria Nacional,80,45,8,True
76,2019-09-23,2019-09-25,2,Loteria Nacional,69,45,11,True
76,2019-09-23,2019-09-25,2,Loteria Nacional,80,45,8,True
87,2019-09-23,2019-09-25,2,Loteria Nacional,69,45,11,True
87,2019-09-23,2019-09-25,2,Loteria Nacional,80,45,8,True
86,2019-09-20,2019-09-21,1,New York 2:30,87,33,28,True
26,2019-09-26,2019-09-29,3,New York 2:30,27,26,92,True
69,2019-09-28,2019-10-02,4,Loteria Nacional,87,33,77,True
27,2019-09-29,2019-10-02,3,Quiniela Real,87,33,77,True
56,2019-09-30,2019-10-02,2,Quiniela Loteka,87,33,77,True
87,2019-10-02,2019-10-03,1,Quiniela Leidsa,12,43,89,True
87,2019-10-02,2019-10-03,1,Quiniela Leidsa,56,40,89,True
87,2019-10-02,2019-10-03,1,Quiniela Leidsa,72,40,26,True
3,2019-10-14,2019-10-21,7,New York 10:30,45,50,32,True
91,2019-10-19,2019-10-21,2,New York 10:30,45,50,32,True
7,2019-10-15,2019-10-19,4,Quiniela Loteka,91,44,69,True
89,2019-10-22,2019-10-23,1,Quiniela Loteka,3,31,30,True
3,2019-10-23,2019-10-26,3,Loteria Nacional,63,38,53,True
3,2019-10-24,2019-10-26,2,Loteria Nacional,63,38,53,True
27,2019-10-25,2019-10-26,1,New York 10:30,63,38,53,True
29,2019-10-25,2019-10-29,4,Gana Mas,34,51,59,True
44,2019-10-31,2019-11-02,2,Quiniela Leidsa,7,42,29,True
88,2019-11-03,2019-11-09,6,Loteria Nacional,29,41,63,True
88,2019-11-03,2019-11-09,6,Loteria Nacional,56,40,41,True
88,2019-11-03,2019-11-09,6,Loteria Nacional,67,40,88,True
67,2019-11-09,2019-11-10,1,Quiniela Real,57,30,69,True
20,2019-11-13,2019-11-19,6,Loteria Nacional,72,40,26,True
96,2019-11-16,2019-11-17,1,Loteria Nacional,29,41,22,True
29,2019-11-17,2019-11-18,1,Loteria Nacional,94,39,58,True
72,2019-11-19,2019-11-22,3,Quiniela Loteka,29,41,9,True
71,2019-11-21,2019-11-26,5,Gana Mas,9,39,22,True
71,2019-11-21,2019-11-26,5,Gana Mas,94,39,84,True
35,2019-11-23,2019-11-26,3,Quiniela Real,9,39,22,True
35,2019-11-23,2019-11-26,3,Quiniela Real,94,39,84,True
79,2019-11-25,2019-11-26,1,Loteria Nacional,9,39,22,True
79,2019-11-25,2019-11-26,1,Loteria Nacional,94,39,84,True
29,2019-11-22,2019-11-25,3,Loteria Nacional,79,47,67,True
53,2019-12-04,2019-12-05,1,Loteria Nacional,7,42,29,True
7,2019-12-05,2019-12-07,2,Quiniela Real,27,26,68,True
76,2019-12-08,2019-12-13,5,Gana Mas,44,43,35,True
76,2019-12-08,2019-12-13,5,Gana Mas,92,43,27,True
44,2019-12-13,2019-12-19,6,Quiniela Real,48,36,93,True
92,2019-12-13,2019-12-19,6,Quiniela Loteka,48,36,93,True
85,2019-12-14,2019-12-20,6,Gana Mas,77,32,73,True
85,2019-12-14,2019-12-20,6,Gana Mas,89,48,12,True
48,2019-12-19,2019-12-20,1,New York 2:30,77,32,73,True
48,2019-12-19,2019-12-20,1,New York 2:30,89,48,12,True
79,2019-12-24,2019-12-25,1,New York 10:30,26,28,72,True
42,2019-12-27,2019-12-28,1,Quiniela Real,54,35,14,True
26,2020-01-06,2020-01-07,1,Gana Mas,9,39,44,True
26,2020-01-06,2020-01-07,1,Gana Mas,90,46,44,True
26,2020-01-06,2020-01-07,1,Gana Mas,91,44,69,True
26,2020-01-06,2020-01-07,1,Gana Mas,94,39,58,True
90,2020-01-07,2020-01-09,2,Gana Mas,53,28,90,True
91,2020-01-07,2020-01-10,3,Gana Mas,8,40,80,True
91,2020-01-07,2020-01-10,3,Gana Mas,77,32,23,True
94,2020-01-07,2020-01-08,1,Quiniela Real,73,48,23,True
63,2020-01-20,2020-01-26,6,New York 2:30,22,44,7,True
63,2020-01-20,2020-01-26,6,New York 2:30,59,44,34,True
63,2020-01-20,2020-01-26,6,New York 2:30,70,44,7,True
63,2020-01-22,2020-01-26,4,New York 2:30,22,44,7,True
63,2020-01-22,2020-01-26,4,New York 2:30,59,44,34,True
63,2020-01-22,2020-01-26,4,New York 2:30,70,44,7,True
70,2020-01-26,2020-02-02,7,New York 2:30,73,48,23,True
71,2020-01-30,2020-02-02,3,Quiniela Leidsa,73,48,23,True
54,2020-02-08,2020-02-11,3,Quiniela Leidsa,35,49,63,True
40,2020-02-09,2020-02-11,2,New York 10:30,35,49,63,True
35,2020-02-11,2020-02-13,2,Quiniela Leidsa,11,35,57,True
11,2020-02-13,2020-02-17,4,Quiniela Real,40,49,4,True
11,2020-02-13,2020-02-17,4,Quiniela Real,77,32,23,True
11,2020-02-17,2020-02-19,2,Quiniela Leidsa,7,42,70,True
77,2020-02-17,2020-02-21,4,Gana Mas,11,35,91,True
77,2020-02-17,2020-02-21,4,Gana Mas,28,43,77,True
77,2020-02-17,2020-02-21,4,Gana Mas,44,43,35,True
77,2020-02-17,2020-02-21,4,Gana Mas,92,43,27,True
11,2020-02-21,2020-02-25,4,Quiniela Leidsa,35,49,90,True
90,2020-02-24,2020-02-25,1,Quiniela Loteka,35,49,90,True
44,2020-02-23,2020-03-01,7,Gana Mas,56,40,71,True
58,2020-02-24,2020-03-01,6,New York 10:30,56,40,71,True
2,2020-02-28,2020-03-01,2,New York 2:30,56,40,71,True
56,2020-03-01,2020-03-08,7,Gana Mas,29,41,70,True
4,2020-03-03,2020-03-08,5,New York 10:30,29,41,70,True
29,2020-03-08,2020-03-12,4,New York 2:30,9,39,29,True
53,2020-03-10,2020-03-12,2,New York 2:30,9,39,29,True
44,2020-03-14,2020-03-16,2,Gana Mas,10,37,1,True
44,2020-03-14,2020-03-16,2,Gana Mas,42,37,44,True
44,2020-03-14,2020-03-16,2,Gana Mas,73,48,77,True
73,2020-03-16,2020-03-18,2,Quiniela Leidsa,34,51,59,True
76,2020-05-28,2020-06-04,7,Loteria Nacional,69,45,11,True
22,2020-06-03,2020-06-09,6,Quiniela Loteka,28,43,87,True
22,2020-06-03,2020-06-09,6,Quiniela Loteka,94,39,84,True
58,2020-06-07,2020-06-10,3,New York 10:30,7,42,29,True
58,2020-06-07,2020-06-10,3,New York 10:30,15,29,96,True
58,2020-06-07,2020-06-10,3,New York 10:30,52,38,85,True
58,2020-06-07,2020-06-10,3,New York 10:30,63,38,29,True
85,2020-06-08,2020-06-10,2,Quiniela Leidsa,7,42,29,True
85,2020-06-08,2020-06-10,2,Quiniela Leidsa,15,29,96,True
85,2020-06-08,2020-06-10,2,Quiniela Leidsa,52,38,85,True
85,2020-06-08,2020-06-10,2,Quiniela Leidsa,63,38,29,True
52,2020-06-10,2020-06-11,1,Quiniela Real,44,43,70,True
44,2020-06-11,2020-06-14,3,New York 10:30,22,44,35,True
44,2020-06-11,2020-06-14,3,New York 10:30,70,44,35,True
70,2020-06-14,2020-06-15,1,Loteria Nacional,54,35,14,True
42,2020-06-16,2020-06-22,6,Loteria Nacional,44,43,9,True
42,2020-06-16,2020-06-22,6,Loteria Nacional,60,43,6,True
65,2020-06-20,2020-06-21,1,Gana Mas,92,43,68,True
44,2020-06-22,2020-06-23,1,Quiniela Leidsa,22,44,7,True
44,2020-06-22,2020-06-23,1,Quiniela Leidsa,70,44,7,True
22,2020-06-23,2020-06-24,1,Quiniela Leidsa,94,39,58,True
27,2020-06-27,2020-06-30,3,Loteria Nacional,57,30,69,True
41,2020-06-27,2020-07-02,5,Loteria Nacional,29,41,7,True
76,2020-07-01,2020-07-02,1,New York 2:30,29,41,7,True
19,2020-06-29,2020-07-06,7,Quiniela Leidsa,12,43,89,True
12,2020-07-06,2020-07-07,1,Quiniela Leidsa,94,39,84,True
87,2020-07-08,2020-07-11,3,New York 2:30,4,47,40,True
87,2020-07-08,2020-07-11,3,New York 2:30,68,47,92,True
87,2020-07-08,2020-07-11,3,New York 2:30,79,47,67,True
44,2020-07-15,2020-07-17,2,Quiniela Leidsa,42,37,44,True
44,2020-07-15,2020-07-17,2,Quiniela Leidsa,91,44,57,True
68,2020-07-15,2020-07-20,5,Quiniela Loteka,76,34,68,True
76,2020-07-20,2020-07-23,3,New York 2:30,42,37,35,True
28,2020-07-27,2020-07-31,4,Quiniela Loteka,42,37,63,True
28,2020-07-27,2020-07-31,4,Quiniela Loteka,90,46,63,True
35,2020-07-29,2020-08-03,5,New York 2:30,13,41,17,True
29,2020-08-01,2020-08-03,2,Gana Mas,13,41,17,True
44,2020-08-06,2020-08-07,1,Loteria Nacional,70,44,22,True
34,2020-08-10,2020-08-16,6,Quiniela Real,27,26,92,True
27,2020-08-16,2020-08-23,7,Quiniela Leidsa,69,45,91,True
17,2020-08-21,2020-08-23,2,Quiniela Real,69,45,91,True
63,2020-08-25,2020-08-29,4,New York 2:30,1,34,10,True
28,2020-08-31,2020-09-03,3,New York 10:30,53,28,63,True
27,2020-09-05,2020-09-07,2,Gana Mas,9,39,29,True
9,2020-09-07,2020-09-08,1,New York 2:30,29,41,70,True
29,2020-09-08,2020-09-11,3,Loteria Nacional,9,39,29,True
29,2020-09-08,2020-09-11,3,Loteria Nacional,14,39,54,True
9,2020-09-11,2020-09-13,2,New York 2:30,60,43,6,True
14,2020-09-11,2020-09-15,4,Gana Mas,59,44,34,True
42,2020-09-18,2020-09-21,3,Gana Mas,44,43,70,True
42,2020-09-18,2020-09-21,3,Gana Mas,92,43,76,True
92,2020-09-21,2020-09-27,6,Quiniela Leidsa,76,34,68,True
42,2020-09-29,2020-10-03,4,Quiniela Loteka,29,41,63,True
46,2020-10-01,2020-10-07,6,New York 10:30,7,42,44,True
46,2020-10-01,2020-10-07,6,New York 10:30,22,44,42,True
46,2020-10-01,2020-10-07,6,New York 10:30,48,36,93,True
46,2020-10-01,2020-10-07,6,New York 10:30,70,44,42,True
22,2020-10-07,2020-10-12,5,Quiniela Real,57,30,91,True
22,2020-10-07,2020-10-12,5,Quiniela Real,69,45,91,True
69,2020-10-12,2020-10-13,1,Quiniela Leidsa,41,39,89,True
81,2020-10-17,2020-10-18,1,Quiniela Loteka,52,38,81,True
81,2020-10-17,2020-10-18,1,Quiniela Loteka,63,38,90,True
20,2020-10-24,2020-10-29,5,Loteria Nacional,58,46,94,True
58,2020-10-29,2020-11-03,5,New York 2:30,56,40,41,True
19,2020-11-02,2020-11-03,1,Quiniela Real,56,40,41,True
91,2020-10-31,2020-11-01,1,Quiniela Loteka,68,47,76,True
65,2020-11-10,2020-11-12,2,Gana Mas,42,37,90,True
42,2020-11-12,2020-11-18,6,Quiniela Real,63,38,9,True
9,2020-11-13,2020-11-18,5,New York 10:30,63,38,9,True
