date,lottery,is_featured,draw_time,number,position,position_label,source_reference,draw_id
2026-06-21,Loteria Nacional,True,18:16:31,44,1,1ro,224692,901c62d2-5868-4915-b6bd-3902516f518c
2026-06-21,Loteria Nacional,True,18:16:31,0,2,2do,224692,901c62d2-5868-4915-b6bd-3902516f518c
2026-06-21,Loteria Nacional,True,18:16:31,10,3,3ro,224692,901c62d2-5868-4915-b6bd-3902516f518c
2026-06-21,Anguila 02:00 PM,False,,38,1,1ro,224679,19da6d06-d806-454d-a1c0-dd7cc9e85f84
2026-06-21,Anguila 02:00 PM,False,,55,2,2do,224679,19da6d06-d806-454d-a1c0-dd7cc9e85f84
2026-06-21,Anguila 02:00 PM,False,,31,3,3ro,224679,19da6d06-d806-454d-a1c0-dd7cc9e85f84
2026-06-21,Anguila 03:00 PM,False,,5,1,1ro,224682,fa50ea93-bfb1-46b9-950b-40ef867e721d
2026-06-21,Anguila 03:00 PM,False,,12,2,2do,224682,fa50ea93-bfb1-46b9-950b-40ef867e721d
2026-06-21,Anguila 03:00 PM,False,,97,3,3ro,224682,fa50ea93-bfb1-46b9-950b-40ef867e721d
2026-06-21,Anguila 04:00 PM,False,,4,1,1ro,224687,93607f1e-8e24-48df-9017-d398c9892cb2
2026-06-21,Anguila 04:00 PM,False,,15,2,2do,224687,93607f1e-8e24-48df-9017-d398c9892cb2
2026-06-21,Anguila 04:00 PM,False,,60,3,3ro,224687,93607f1e-8e24-48df-9017-d398c9892cb2
2026-06-21,Anguila 05:00 PM,False,,97,1,1ro,224688,fb2b9623-96b0-4a1c-967f-3bec91949a40
2026-06-21,Anguila 05:00 PM,False,,12,2,2do,224688,fb2b9623-96b0-4a1c-967f-3bec91949a40
2026-06-21,Anguila 05:00 PM,False,,79,3,3ro,224688,fb2b9623-96b0-4a1c-967f-3bec91949a40
2026-06-21,Anguila 07:00 PM,False,,77,1,1ro,224694,9d81770c-6edc-4132-b2d9-a5d490f3a7a8
2026-06-21,Anguila 07:00 PM,False,,65,2,2do,224694,9d81770c-6edc-4132-b2d9-a5d490f3a7a8
2026-06-21,Anguila 07:00 PM,False,,43,3,3ro,224694,9d81770c-6edc-4132-b2d9-a5d490f3a7a8
2026-06-21,Anguila 08:00 AM,False,,56,1,1ro,224662,f744a27d-a51a-4461-85c6-62bf618f04c5
2026-06-21,Anguila 08:00 AM,False,,86,2,2do,224662,f744a27d-a51a-4461-85c6-62bf618f04c5
2026-06-21,Anguila 08:00 AM,False,,31,3,3ro,224662,f744a27d-a51a-4461-85c6-62bf618f04c5
2026-06-21,Anguila 08:00 PM,False,,54,1,1ro,224699,fbeae7d4-d07f-4e43-9e93-993663bcc5fa
2026-06-21,Anguila 08:00 PM,False,,41,2,2do,224699,fbeae7d4-d07f-4e43-9e93-993663bcc5fa
2026-06-21,Anguila 08:00 PM,False,,82,3,3ro,224699,fbeae7d4-d07f-4e43-9e93-993663bcc5fa
2026-06-21,Anguila 09:00 AM,False,,89,1,1ro,224663,568db26d-de2d-4795-a3e5-fb9cd9541ea7
2026-06-21,Anguila 09:00 AM,False,,71,2,2do,224663,568db26d-de2d-4795-a3e5-fb9cd9541ea7
2026-06-21,Anguila 09:00 AM,False,,80,3,3ro,224663,568db26d-de2d-4795-a3e5-fb9cd9541ea7
2026-06-21,Anguila 10:00 AM,False,,79,1,1ro,224665,74762fa4-7c72-40ee-b347-3ab168694332
2026-06-21,Anguila 10:00 AM,False,,86,2,2do,224665,74762fa4-7c72-40ee-b347-3ab168694332
2026-06-21,Anguila 10:00 AM,False,,69,3,3ro,224665,74762fa4-7c72-40ee-b347-3ab168694332
2026-06-21,Anguila 11:00 AM,False,,24,1,1ro,224667,0752b3b9-7ddd-4b27-a0db-d762f6404d32
2026-06-21,Anguila 11:00 AM,False,,8,2,2do,224667,0752b3b9-7ddd-4b27-a0db-d762f6404d32
2026-06-21,Anguila 11:00 AM,False,,7,3,3ro,224667,0752b3b9-7ddd-4b27-a0db-d762f6404d32
2026-06-21,Anguila 12:00 PM,False,,9,1,1ro,224669,f8c64801-e61c-44d9-9ddb-a3410af31fb8
2026-06-21,Anguila 12:00 PM,False,,78,2,2do,224669,f8c64801-e61c-44d9-9ddb-a3410af31fb8
2026-06-21,Anguila 12:00 PM,False,,94,3,3ro,224669,f8c64801-e61c-44d9-9ddb-a3410af31fb8
2026-06-21,Anguila 1:00 PM,False,,89,1,1ro,224677,67ba711a-b748-4e8a-8582-6249fa7518c5
2026-06-21,Anguila 1:00 PM,False,,62,2,2do,224677,67ba711a-b748-4e8a-8582-6249fa7518c5
2026-06-21,Anguila 1:00 PM,False,,78,3,3ro,224677,67ba711a-b748-4e8a-8582-6249fa7518c5
2026-06-21,Anguila 6:00 PM,False,,99,1,1ro,224690,d5226fe5-8e70-417d-8c56-25f3c18f8ccf
2026-06-21,Anguila 6:00 PM,False,,43,2,2do,224690,d5226fe5-8e70-417d-8c56-25f3c18f8ccf
2026-06-21,Anguila 6:00 PM,False,,92,3,3ro,224690,d5226fe5-8e70-417d-8c56-25f3c18f8ccf
2026-06-21,Anguila 9:00 PM,False,,22,1,1ro,224702,a88afe4a-1406-4471-92c7-f198d5dd94e0
2026-06-21,Anguila 9:00 PM,False,,79,2,2do,224702,a88afe4a-1406-4471-92c7-f198d5dd94e0
2026-06-21,Anguila 9:00 PM,False,,64,3,3ro,224702,a88afe4a-1406-4471-92c7-f198d5dd94e0
2026-06-21,El Agarra 4,False,,16,1,posición 1,224671,5faa1ebe-08bd-487e-9453-d5af31049b56
2026-06-21,El Agarra 4,False,,60,2,posición 2,224671,5faa1ebe-08bd-487e-9453-d5af31049b56
2026-06-21,El Agarra 4,False,,81,3,posición 3,224671,5faa1ebe-08bd-487e-9453-d5af31049b56
2026-06-21,El Agarra 4,False,,92,4,posición 4,224671,5faa1ebe-08bd-487e-9453-d5af31049b56
