date,lottery,is_featured,draw_time,number,position,position_label,source_reference,draw_id
2026-06-23,Loteria Nacional,True,21:01:42,35,1,1ro,224790,1d1862a7-715a-4f63-9724-c77291187154
2026-06-23,Loteria Nacional,True,21:01:42,0,2,2do,224790,1d1862a7-715a-4f63-9724-c77291187154
2026-06-23,Loteria Nacional,True,21:01:42,63,3,3ro,224790,1d1862a7-715a-4f63-9724-c77291187154
2026-06-23,Anguila 02:00 PM,False,,38,1,1ro,224764,2ee629f0-a9c2-436b-955d-ff4d86c450d7
2026-06-23,Anguila 02:00 PM,False,,51,2,2do,224764,2ee629f0-a9c2-436b-955d-ff4d86c450d7
2026-06-23,Anguila 02:00 PM,False,,5,3,3ro,224764,2ee629f0-a9c2-436b-955d-ff4d86c450d7
2026-06-23,Anguila 03:00 PM,False,,24,1,1ro,224767,c58b3ff6-df6e-49f9-a65c-e48444db66dc
2026-06-23,Anguila 03:00 PM,False,,83,2,2do,224767,c58b3ff6-df6e-49f9-a65c-e48444db66dc
2026-06-23,Anguila 03:00 PM,False,,4,3,3ro,224767,c58b3ff6-df6e-49f9-a65c-e48444db66dc
2026-06-23,Anguila 04:00 PM,False,,93,1,1ro,224768,c7571c61-2f00-4e84-8204-5d1714b739df
2026-06-23,Anguila 04:00 PM,False,,24,2,2do,224768,c7571c61-2f00-4e84-8204-5d1714b739df
2026-06-23,Anguila 04:00 PM,False,,79,3,3ro,224768,c7571c61-2f00-4e84-8204-5d1714b739df
2026-06-23,Anguila 05:00 PM,False,,72,1,1ro,224769,ada61b9b-d030-4279-a0c5-acaf3a49f496
2026-06-23,Anguila 05:00 PM,False,,94,2,2do,224769,ada61b9b-d030-4279-a0c5-acaf3a49f496
2026-06-23,Anguila 05:00 PM,False,,82,3,3ro,224769,ada61b9b-d030-4279-a0c5-acaf3a49f496
2026-06-23,Anguila 07:00 PM,False,,41,1,1ro,224777,aa182176-658c-4129-84b2-e45985e0ebec
2026-06-23,Anguila 07:00 PM,False,,60,2,2do,224777,aa182176-658c-4129-84b2-e45985e0ebec
2026-06-23,Anguila 07:00 PM,False,,74,3,3ro,224777,aa182176-658c-4129-84b2-e45985e0ebec
2026-06-23,Anguila 08:00 AM,False,,48,1,1ro,224747,ba2b9856-0ef0-4708-9080-308df30561cc
2026-06-23,Anguila 08:00 AM,False,,49,2,2do,224747,ba2b9856-0ef0-4708-9080-308df30561cc
2026-06-23,Anguila 08:00 AM,False,,84,3,3ro,224747,ba2b9856-0ef0-4708-9080-308df30561cc
2026-06-23,Anguila 08:00 PM,False,,71,1,1ro,224782,2ac3e8a8-19a0-482a-bb78-023c2c3d1b4c
2026-06-23,Anguila 08:00 PM,False,,87,2,2do,224782,2ac3e8a8-19a0-482a-bb78-023c2c3d1b4c
2026-06-23,Anguila 08:00 PM,False,,70,3,3ro,224782,2ac3e8a8-19a0-482a-bb78-023c2c3d1b4c
2026-06-23,Anguila 09:00 AM,False,,89,1,1ro,224748,7e8e881c-2942-47fd-9615-67f65bc193f6
2026-06-23,Anguila 09:00 AM,False,,90,2,2do,224748,7e8e881c-2942-47fd-9615-67f65bc193f6
2026-06-23,Anguila 09:00 AM,False,,4,3,3ro,224748,7e8e881c-2942-47fd-9615-67f65bc193f6
2026-06-23,Anguila 10:00 AM,False,,26,1,1ro,224750,b9e68da5-ed79-4813-834c-2ef885bc3b28
2026-06-23,Anguila 10:00 AM,False,,60,2,2do,224750,b9e68da5-ed79-4813-834c-2ef885bc3b28
2026-06-23,Anguila 10:00 AM,False,,21,3,3ro,224750,b9e68da5-ed79-4813-834c-2ef885bc3b28
2026-06-23,Anguila 11:00 AM,False,,8,1,1ro,224752,bce62a62-e4fd-4379-94da-3b71d44d31f2
2026-06-23,Anguila 11:00 AM,False,,27,2,2do,224752,bce62a62-e4fd-4379-94da-3b71d44d31f2
2026-06-23,Anguila 11:00 AM,False,,70,3,3ro,224752,bce62a62-e4fd-4379-94da-3b71d44d31f2
2026-06-23,Anguila 12:00 PM,False,,84,1,1ro,224758,aeeb2b1a-ab7b-4a97-9b15-ef3bc0c86e0c
2026-06-23,Anguila 12:00 PM,False,,81,2,2do,224758,aeeb2b1a-ab7b-4a97-9b15-ef3bc0c86e0c
2026-06-23,Anguila 12:00 PM,False,,83,3,3ro,224758,aeeb2b1a-ab7b-4a97-9b15-ef3bc0c86e0c
2026-06-23,Anguila 1:00 PM,False,,9,1,1ro,224762,bb44b8ee-4053-444f-8b38-21c7a3fcf1a0
2026-06-23,Anguila 1:00 PM,False,,39,2,2do,224762,bb44b8ee-4053-444f-8b38-21c7a3fcf1a0
2026-06-23,Anguila 1:00 PM,False,,6,3,3ro,224762,bb44b8ee-4053-444f-8b38-21c7a3fcf1a0
2026-06-23,Anguila 6:00 PM,False,,56,1,1ro,224775,2d0b49f2-c70c-4835-8d8f-7324f6e2cf94
2026-06-23,Anguila 6:00 PM,False,,78,2,2do,224775,2d0b49f2-c70c-4835-8d8f-7324f6e2cf94
2026-06-23,Anguila 6:00 PM,False,,5,3,3ro,224775,2d0b49f2-c70c-4835-8d8f-7324f6e2cf94
