activation_id,case_date,year,origin,origin_lottery,origin_draw_position,origin_source,fuerte,confirmer,confirmer_lottery,confirmer_draw_position,confirmer_source,t1_candidates,t1_group_fuerte,t1_pos_fuerte,t2_group_fuerte,t2_pos_fuerte,t2_pos_confirmer,n_confirmers,n_fuertes_same_day,other_fuertes,fuerte_appeared,first_day_offset,first_lottery,first_draw_position,fuerte_appearance_count,methodology
2019-07-24|42|7|9,2019-07-24,2019,42,Quiniela Leidsa,1,116737,7,9,New York 2:30,1,47630,7|18|23|50|55|66|71,7|18|23|50|55|66|71,1,7|9|22|29|35|42|44|53|63|70|90,1,2,2,2,50,True,2,Quiniela Leidsa,1,2,nr-historical-relations-j1.0.0
2019-07-24|42|7|70,2019-07-24,2019,42,Quiniela Leidsa,1,116737,7,70,Loteria Nacional,1,109215,7|18|23|50|55|66|71,7|18|23|50|55|66|71,1,7|9|22|29|35|42|44|53|63|70|90,1,10,2,2,50,True,2,Quiniela Leidsa,1,2,nr-historical-relations-j1.0.0
2019-07-24|42|50|5,2019-07-24,2019,42,Quiniela Leidsa,1,116737,50,5,Gana Mas,1,163146,7|18|23|50|55|66|71,7|18|23|50|55|66|71,4,5|50,2,1,1,2,7,True,5,New York 2:30,1,1,nr-historical-relations-j1.0.0
2019-07-27|35|11|91,2019-07-27,2019,35,Quiniela Leidsa,1,116734,11,91,Quiniela Real,1,36044,6|11|43|54|86,6|11|43|54|86,2,11|57|69|91,1,4,1,3,86|90,True,1,New York 2:30,1,4,nr-historical-relations-j1.0.0
2019-07-27|35|86|46,2019-07-27,2019,35,Quiniela Leidsa,1,116734,86,46,New York 10:30,1,50090,6|11|43|54|86,6|11|43|54|86,5,19|46|86,3,2,1,3,11|90,False,,,,0,nr-historical-relations-j1.0.0
2019-07-27|46|90|35,2019-07-27,2019,46,New York 10:30,1,50090,90,35,Quiniela Leidsa,1,116734,37|58|74|90,37|58|74|90,4,7|9|22|29|35|42|44|53|63|70|90,11,5,1,3,11|86,True,5,Quiniela Leidsa,2,2,nr-historical-relations-j1.0.0
2019-07-29|37|5|50,2019-07-29,2019,37,Quiniela Loteka,1,1291,5,50,New York 2:30,1,47625,5|10|42,5|10|42,1,5|50,1,2,1,2,10,False,,,,0,nr-historical-relations-j1.0.0
2019-07-29|37|10|1,2019-07-29,2019,37,Quiniela Loteka,1,1291,10,1,Gana Mas,1,163141,5|10|42,5|10|42,2,1|10|100,2,1,1,2,5,True,2,New York 10:30,1,2,nr-historical-relations-j1.0.0
2019-07-30|41|93|97,2019-07-30,2019,41,New York 2:30,1,47624,93,97,Gana Mas,1,163140,13|29|93,13|29|93,3,48|93|97,2,3,1,1,,True,6,Quiniela Real,1,1,nr-historical-relations-j1.0.0
2019-08-01|42|23|73,2019-08-01,2019,42,New York 10:30,1,50085,23,73,Quiniela Real,1,36039,7|18|23|50|55|66|71,7|18|23|50|55|66|71,3,23|28|73|77|87,1,3,1,2,71,True,2,Quiniela Leidsa,3,1,nr-historical-relations-j1.0.0
