t1_distance,opportunities,appearances_in_window,rate_pct,top_numbers_at_position
-7,32,23,71.88,9:32
-6,75,65,86.67,"7:43, 14:32"
-5,158,120,75.95,"18:43, 12:32, 30:32, 8:30, 20:14, 9:7"
-4,369,303,82.11,"20:75, 23:43, 28:32, 41:32, 19:30, 1:29, 22:27, 9:19"
-3,648,483,74.54,"31:75, 37:65, 50:43, 8:38, 2:38, 44:32, 46:32, 9:31"
-2,1150,872,75.83,"5:85, 12:81, 22:76, 47:75, 21:72, 58:65, 55:43, 19:38"
-1,1545,1198,77.54,"10:85, 28:81, 13:79, 59:76, 52:75, 26:72, 74:65, 66:43"
0,2222,1670,75.16,"42:85, 44:81, 9:81, 7:79, 29:79, 70:76, 22:75, 63:75"
1,1506,1104,73.31,"60:81, 14:81, 18:79, 93:79, 75:76, 59:75, 100:75, 40:66"
2,1011,777,76.85,"81:81, 30:81, 23:79, 91:76, 70:75, 83:66, 60:41, 72:38"
3,701,539,76.89,"92:81, 41:81, 50:79, 75:75, 81:41, 66:37, 78:31, 91:28"
4,480,356,74.17,"46:81, 55:79, 91:75, 92:41, 71:37, 94:31, 81:24, 78:21"
5,242,181,74.79,"62:81, 66:79, 92:24, 94:21, 100:16, 78:11, 72:10"
6,171,135,78.95,"78:81, 71:79, 94:11"
7,81,57,70.37,94:81
