fuerte,t1_group,pos_fuerte,number_at_-2,number_at_-1,number_at_0,number_at_+1,number_at_+2
1,1 17 33 49 76,1,,,1,17,33
2,2 39 82 87,1,,,2,39,82
3,3 24 88 99,1,,,3,24,88
4,4 36 68 79 84,1,,,4,36,68
5,5 10 42,1,,,5,10,42
6,6 11 43 54 86,1,,,6,11,43
7,7 18 23 50 55 66 71,1,,,7,18,23
8,8 19 51 56 67 72,1,,,8,19,51
9,9 14 30 41 46 62 78 94,1,,,9,14,30
10,5 10 42,2,,5,10,42,
11,6 11 43 54 86,2,,6,11,43,54
12,12 28 44 60 81 92,1,,,12,28,44
13,13 29 93,1,,,13,29,93
14,9 14 30 41 46 62 78 94,2,,9,14,30,41
15,15,1,,,15,,
16,16,1,,,16,,
17,1 17 33 49 76,2,,1,17,33,49
18,7 18 23 50 55 66 71,2,,7,18,23,50
19,8 19 51 56 67 72,2,,8,19,51,56
20,20 31 47 52 63 100,1,,,20,31,47
21,21 26 53,1,,,21,26,53
22,22 59 70 75 91,1,,,22,59,70
23,7 18 23 50 55 66 71,3,7,18,23,50,55
24,3 24 88 99,2,,3,24,88,99
25,25 57,1,,,25,57,
26,21 26 53,2,,21,26,53,
27,27 38,1,,,27,38,
28,12 28 44 60 81 92,2,,12,28,44,60
29,13 29 93,2,,13,29,93,
30,9 14 30 41 46 62 78 94,3,9,14,30,41,46
31,20 31 47 52 63 100,2,,20,31,47,52
32,32 48 64 85,1,,,32,48,64
33,1 17 33 49 76,3,1,17,33,49,76
34,34 98,1,,,34,98,
35,35 40 83,1,,,35,40,83
36,4 36 68 79 84,2,,4,36,68,79
37,37 58 74 90,1,,,37,58,74
38,27 38,2,,27,38,,
39,2 39 82 87,2,,2,39,82,87
40,35 40 83,2,,35,40,83,
41,9 14 30 41 46 62 78 94,4,14,30,41,46,62
42,5 10 42,3,5,10,42,,
43,6 11 43 54 86,3,6,11,43,54,86
44,12 28 44 60 81 92,3,12,28,44,60,81
45,45,1,,,45,,
46,9 14 30 41 46 62 78 94,5,30,41,46,62,78
47,20 31 47 52 63 100,3,20,31,47,52,63
48,32 48 64 85,2,,32,48,64,85
49,1 17 33 49 76,4,17,33,49,76,
50,7 18 23 50 55 66 71,4,18,23,50,55,66
51,8 19 51 56 67 72,3,8,19,51,56,67
52,20 31 47 52 63 100,4,31,47,52,63,100
53,21 26 53,3,21,26,53,,
54,6 11 43 54 86,4,11,43,54,86,
55,7 18 23 50 55 66 71,5,23,50,55,66,71
56,8 19 51 56 67 72,4,19,51,56,67,72
57,25 57,2,,25,57,,
58,37 58 74 90,2,,37,58,74,90
59,22 59 70 75 91,2,,22,59,70,75
60,12 28 44 60 81 92,4,28,44,60,81,92
61,61,1,,,61,,
62,9 14 30 41 46 62 78 94,6,41,46,62,78,94
63,20 31 47 52 63 100,5,47,52,63,100,
64,32 48 64 85,3,32,48,64,85,
65,65 97,1,,,65,97,
66,7 18 23 50 55 66 71,6,50,55,66,71,
67,8 19 51 56 67 72,5,51,56,67,72,
68,4 36 68 79 84,3,4,36,68,79,84
69,69 80,1,,,69,80,
70,22 59 70 75 91,3,22,59,70,75,91
71,7 18 23 50 55 66 71,7,55,66,71,,
72,8 19 51 56 67 72,6,56,67,72,,
73,73 89,1,,,73,89,
74,37 58 74 90,3,37,58,74,90,
75,22 59 70 75 91,4,59,70,75,91,
76,1 17 33 49 76,5,33,49,76,,
77,77,1,,,77,,
78,9 14 30 41 46 62 78 94,7,46,62,78,94,
79,4 36 68 79 84,4,36,68,79,84,
80,69 80,2,,69,80,,
81,12 28 44 60 81 92,5,44,60,81,92,
82,2 39 82 87,3,2,39,82,87,
83,35 40 83,3,35,40,83,,
84,4 36 68 79 84,5,68,79,84,,
85,32 48 64 85,4,48,64,85,,
86,6 11 43 54 86,5,43,54,86,,
87,2 39 82 87,4,39,82,87,,
88,3 24 88 99,3,3,24,88,99,
89,73 89,2,,73,89,,
90,37 58 74 90,4,58,74,90,,
91,22 59 70 75 91,5,70,75,91,,
92,12 28 44 60 81 92,6,60,81,92,,
93,13 29 93,3,13,29,93,,
94,9 14 30 41 46 62 78 94,8,62,78,94,,
95,95,1,,,95,,
96,96,1,,,96,,
97,65 97,2,,65,97,,
98,34 98,2,,34,98,,
99,3 24 88 99,4,24,88,99,,
100,20 31 47 52 63 100,6,52,63,100,,
