origin_lottery,confirmer_lottery,result_lottery,count
Gana Mas,Loteria Nacional,Quiniela Real,1492
New York 10:30,New York 2:30,New York 2:30,1491
Gana Mas,Loteria Nacional,New York 2:30,1486
New York 10:30,New York 2:30,New York 10:30,1484
New York 10:30,Quiniela Leidsa,Quiniela Real,1475
Gana Mas,Loteria Nacional,Quiniela Loteka,1472
New York 10:30,Quiniela Leidsa,New York 2:30,1467
New York 10:30,New York 2:30,Quiniela Real,1465
Gana Mas,Loteria Nacional,New York 10:30,1464
New York 10:30,New York 2:30,Quiniela Leidsa,1459
New York 10:30,New York 2:30,Quiniela Loteka,1457
New York 10:30,Quiniela Leidsa,New York 10:30,1455
Gana Mas,Loteria Nacional,Quiniela Leidsa,1455
Loteria Nacional,Quiniela Loteka,New York 2:30,1454
Loteria Nacional,Quiniela Loteka,New York 10:30,1450
Gana Mas,Loteria Nacional,Loteria Nacional,1445
New York 10:30,Quiniela Leidsa,Quiniela Leidsa,1444
New York 10:30,Quiniela Leidsa,Quiniela Loteka,1443
New York 2:30,Quiniela Loteka,New York 2:30,1437
Loteria Nacional,Quiniela Loteka,Quiniela Real,1436
New York 2:30,Quiniela Loteka,New York 10:30,1434
New York 2:30,Quiniela Loteka,Quiniela Real,1433
New York 10:30,New York 2:30,Loteria Nacional,1429
New York 10:30,Quiniela Leidsa,Gana Mas,1425
Gana Mas,Loteria Nacional,Gana Mas,1423
New York 2:30,Quiniela Loteka,Quiniela Loteka,1411
Loteria Nacional,Quiniela Loteka,Quiniela Leidsa,1407
New York 2:30,Quiniela Loteka,Quiniela Leidsa,1403
Loteria Nacional,Quiniela Loteka,Quiniela Loteka,1400
New York 10:30,New York 2:30,Gana Mas,1399
New York 10:30,Quiniela Leidsa,Loteria Nacional,1397
Loteria Nacional,Quiniela Loteka,Loteria Nacional,1395
Quiniela Leidsa,New York 10:30,New York 2:30,1382
Quiniela Leidsa,New York 10:30,New York 10:30,1381
Loteria Nacional,Quiniela Loteka,Gana Mas,1380
New York 10:30,Quiniela Real,Quiniela Real,1370
New York 10:30,Quiniela Real,New York 10:30,1369
New York 2:30,Quiniela Loteka,Loteria Nacional,1367
Quiniela Leidsa,New York 10:30,Quiniela Real,1366
New York 10:30,Quiniela Real,New York 2:30,1361
