number,t1_code,t1_group,t1_pos,t1_group_size,t2_code,t2_group,t2_pos,t2_group_size,times_fuerte,exact_any,exact_D+1,exact_D+2,exact_D+3,exact_D+4,exact_D+5,exact_D+6,exact_D+7,times_origin,times_confirmer,candidates_as_origin
1,34,1|17|33|49|76,1,5,5,1|10|100,1,3,13,9,1,1,3,0,2,1,1,0,24,
2,33,2|39|82|87,1,4,7,2|20,1,2,5,3,0,2,0,0,0,1,0,0,16,
3,31,3|24|88|99,1,4,65,3|30|83,1,3,22,13,1,4,4,2,0,1,1,0,23,
4,47,4|36|68|79|84,1,5,8,4|40,1,2,5,4,0,0,2,1,1,0,0,0,6,
5,37,5|10|42,1,3,10,5|50,1,2,6,4,1,0,2,1,0,0,0,0,11,61
6,35,6|11|43|54|86,1,5,32,6|60,1,2,7,4,2,1,0,0,0,0,1,0,9,
7,42,7|18|23|50|55|66|71,1,7,55,7|9|22|29|35|42|44|53|63|70|90,1,11,79,60,16,15,10,2,8,6,3,0,101,
8,40,8|19|51|56|67|72,1,6,13,8|80,1,2,10,8,1,5,0,0,1,1,0,0,13,
9,39,9|14|30|41|46|62|78|94,1,8,55,7|9|22|29|35|42|44|53|63|70|90,2,11,81,61,20,12,10,4,5,4,6,0,97,
10,37,5|10|42,2,3,5,1|10|100,2,3,16,11,3,3,1,2,0,1,1,0,19,
11,35,6|11|43|54|86,2,5,47,11|57|69|91,1,4,20,19,3,4,1,5,2,1,3,0,22,
12,43,12|28|44|60|81|92,1,6,57,12|41|56|71|89,1,5,24,18,5,2,2,4,1,3,1,0,35,
13,41,13|29|93,1,3,59,13|17,1,2,9,6,2,1,1,2,0,0,0,0,5,
14,39,9|14|30|41|46|62|78|94,2,8,58,14|54,1,2,11,10,3,2,1,1,1,0,2,0,15,
15,29,15,1,1,39,15|96,1,2,6,5,2,1,1,0,0,1,0,0,6,
16,27,16,1,1,20,16|25,1,2,7,4,1,1,0,0,2,0,0,0,9,
17,34,1|17|33|49|76,2,5,59,13|17,2,2,5,4,1,2,0,1,0,0,0,0,9,
18,42,7|18|23|50|55|66|71,2,7,84,18,1,1,0,0,0,0,0,0,0,0,0,0,0,
19,40,8|19|51|56|67|72,2,6,43,19|46|86,1,3,19,15,5,2,3,1,2,1,1,0,17,
20,38,20|31|47|52|63|100,1,6,7,2|20,2,2,16,13,5,1,2,2,1,2,0,0,5,
21,28,21|26|53,1,3,56,21|51,1,2,7,7,0,4,0,1,1,0,1,0,9,
22,44,22|59|70|75|91,1,5,55,7|9|22|29|35|42|44|53|63|70|90,3,11,75,48,11,11,8,10,5,2,1,0,109,
23,42,7|18|23|50|55|66|71,3,7,51,23|28|73|77|87,1,5,37,28,2,7,7,5,0,4,3,0,54,
24,31,3|24|88|99,2,4,40,24,1,1,0,0,0,0,0,0,0,0,0,0,0,
25,30,25|57,1,2,20,16|25,2,2,9,9,1,2,4,1,0,0,1,0,7,
