origin,fuerte,confirmer,result,count,consistency
45,69,57,49,39,NIVEL_4_REPETICION_ALTA
40,72,26,6,39,NIVEL_4_REPETICION_ALTA
37,42,44,2,39,NIVEL_4_REPETICION_ALTA
44,70,22,61,39,NIVEL_4_REPETICION_ALTA
44,70,22,22,39,NIVEL_4_REPETICION_ALTA
44,70,22,32,39,NIVEL_4_REPETICION_ALTA
44,70,22,34,39,NIVEL_4_REPETICION_ALTA
52,65,37,49,38,NIVEL_4_REPETICION_ALTA
39,94,84,57,38,NIVEL_4_REPETICION_ALTA
48,73,23,51,38,NIVEL_4_REPETICION_ALTA
44,70,22,86,38,NIVEL_4_REPETICION_ALTA
49,35,44,16,38,NIVEL_4_REPETICION_ALTA
42,7,29,25,37,NIVEL_4_REPETICION_ALTA
38,20,2,61,37,NIVEL_4_REPETICION_ALTA
39,94,84,5,37,NIVEL_4_REPETICION_ALTA
39,94,84,82,37,NIVEL_4_REPETICION_ALTA
40,19,86,78,37,NIVEL_4_REPETICION_ALTA
37,42,44,1,37,NIVEL_4_REPETICION_ALTA
44,70,22,47,37,NIVEL_4_REPETICION_ALTA
44,70,22,93,37,NIVEL_4_REPETICION_ALTA
31,3,30,88,36,NIVEL_4_REPETICION_ALTA
38,20,2,45,36,NIVEL_4_REPETICION_ALTA
39,94,84,20,36,NIVEL_4_REPETICION_ALTA
39,94,84,61,36,NIVEL_4_REPETICION_ALTA
39,94,84,79,36,NIVEL_4_REPETICION_ALTA
44,70,22,11,36,NIVEL_4_REPETICION_ALTA
38,20,2,92,36,NIVEL_4_REPETICION_ALTA
44,70,22,3,36,NIVEL_4_REPETICION_ALTA
43,44,29,6,35,NIVEL_4_REPETICION_ALTA
38,20,2,96,35,NIVEL_4_REPETICION_ALTA
39,94,84,41,35,NIVEL_4_REPETICION_ALTA
39,94,84,64,35,NIVEL_4_REPETICION_ALTA
39,94,84,75,35,NIVEL_4_REPETICION_ALTA
39,94,84,14,35,NIVEL_4_REPETICION_ALTA
39,94,84,97,35,NIVEL_4_REPETICION_ALTA
39,94,84,19,35,NIVEL_4_REPETICION_ALTA
37,42,44,73,35,NIVEL_4_REPETICION_ALTA
39,94,84,89,35,NIVEL_4_REPETICION_ALTA
39,94,84,91,35,NIVEL_4_REPETICION_ALTA
39,94,84,92,35,NIVEL_4_REPETICION_ALTA
44,70,22,33,35,NIVEL_4_REPETICION_ALTA
44,70,22,29,35,NIVEL_4_REPETICION_ALTA
44,70,22,41,35,NIVEL_4_REPETICION_ALTA
44,70,22,43,35,NIVEL_4_REPETICION_ALTA
37,10,1,42,34,NIVEL_4_REPETICION_ALTA
52,65,37,37,34,NIVEL_4_REPETICION_ALTA
43,44,29,81,34,NIVEL_4_REPETICION_ALTA
42,7,29,30,34,NIVEL_4_REPETICION_ALTA
39,94,84,55,34,NIVEL_4_REPETICION_ALTA
39,94,84,22,34,NIVEL_4_REPETICION_ALTA
39,94,84,21,34,NIVEL_4_REPETICION_ALTA
39,94,84,8,34,NIVEL_4_REPETICION_ALTA
39,94,84,98,34,NIVEL_4_REPETICION_ALTA
39,94,84,39,34,NIVEL_4_REPETICION_ALTA
39,94,84,49,34,NIVEL_4_REPETICION_ALTA
35,54,14,5,34,NIVEL_4_REPETICION_ALTA
43,92,27,43,34,NIVEL_4_REPETICION_ALTA
40,19,86,21,34,NIVEL_4_REPETICION_ALTA
44,70,22,51,34,NIVEL_4_REPETICION_ALTA
44,70,22,36,34,NIVEL_4_REPETICION_ALTA
44,70,22,26,34,NIVEL_4_REPETICION_ALTA
47,68,76,90,34,NIVEL_4_REPETICION_ALTA
37,10,1,16,33,NIVEL_4_REPETICION_ALTA
41,29,9,64,33,NIVEL_4_REPETICION_ALTA
33,87,23,70,33,NIVEL_4_REPETICION_ALTA
43,44,29,51,33,NIVEL_4_REPETICION_ALTA
38,20,2,86,33,NIVEL_4_REPETICION_ALTA
39,94,84,59,33,NIVEL_4_REPETICION_ALTA
39,94,84,66,33,NIVEL_4_REPETICION_ALTA
39,94,84,25,33,NIVEL_4_REPETICION_ALTA
39,94,84,28,33,NIVEL_4_REPETICION_ALTA
39,94,84,44,33,NIVEL_4_REPETICION_ALTA
42,7,53,3,33,NIVEL_4_REPETICION_ALTA
42,7,53,79,33,NIVEL_4_REPETICION_ALTA
43,92,27,51,33,NIVEL_4_REPETICION_ALTA
35,54,14,31,33,NIVEL_4_REPETICION_ALTA
40,19,86,81,33,NIVEL_4_REPETICION_ALTA
43,44,9,96,33,NIVEL_4_REPETICION_ALTA
44,70,22,8,33,NIVEL_4_REPETICION_ALTA
44,70,22,45,33,NIVEL_4_REPETICION_ALTA
46,74,31,97,33,NIVEL_4_REPETICION_ALTA
48,89,41,55,32,NIVEL_4_REPETICION_ALTA
41,93,48,55,32,NIVEL_4_REPETICION_ALTA
45,69,57,34,32,NIVEL_4_REPETICION_ALTA
45,69,57,42,32,NIVEL_4_REPETICION_ALTA
45,80,8,17,32,NIVEL_4_REPETICION_ALTA
52,65,37,5,32,NIVEL_4_REPETICION_ALTA
51,34,59,22,32,NIVEL_4_REPETICION_ALTA
