day,relation,count,row_pct,col_pct
D+1,CANDIDATO_ORIGINAL_ALTERNATIVO,4630,7.03,14.4
D+1,COMPANERO_DEL_CONFIRMADOR,1868,2.84,14.43
D+1,CONFIRMADOR_ORIGINAL,536,0.81,15.03
D+1,FUERTE_ALTERNATIVO,609,0.92,14.29
D+1,FUERTE_EXACTO,487,0.74,13.98
D+1,MISMO_CODIGO_T1,2330,3.54,14.16
D+1,MISMO_CODIGO_T2,3307,5.02,13.92
D+1,MISMO_GRUPO_T1,2330,3.54,14.16
D+1,MISMO_GRUPO_T2,3307,5.02,13.92
D+1,POSICION_T1_ADYACENTE,686,1.04,14.55
D+1,POSICION_T1_CERCANA,804,1.22,14.2
D+1,POSICION_T1_LEJANA,353,0.54,13.62
D+1,POSICION_T2_ADYACENTE,816,1.24,14.74
D+1,RELACION_DE_SEGUNDO_NIVEL,10609,16.11,14.18
D+1,RELACION_DE_TERCER_NIVEL,15280,23.2,14.59
D+1,SIN_RELACION_DIRECTA_IDENTIFICADA,15147,23.0,14.38
D+1,VECINO_DEL_CONFIRMADOR,2771,4.21,13.72
D+2,CANDIDATO_ORIGINAL_ALTERNATIVO,4577,6.95,14.23
D+2,COMPANERO_DEL_CONFIRMADOR,1882,2.86,14.54
D+2,CONFIRMADOR_ORIGINAL,521,0.79,14.61
D+2,FUERTE_ALTERNATIVO,655,0.99,15.37
D+2,FUERTE_EXACTO,516,0.78,14.81
D+2,MISMO_CODIGO_T1,2378,3.61,14.45
D+2,MISMO_CODIGO_T2,3329,5.05,14.01
D+2,MISMO_GRUPO_T1,2378,3.61,14.45
D+2,MISMO_GRUPO_T2,3329,5.05,14.01
D+2,POSICION_T1_ADYACENTE,670,1.02,14.21
D+2,POSICION_T1_CERCANA,836,1.27,14.76
D+2,POSICION_T1_LEJANA,356,0.54,13.73
D+2,POSICION_T2_ADYACENTE,819,1.24,14.8
D+2,RELACION_DE_SEGUNDO_NIVEL,10760,16.34,14.38
D+2,RELACION_DE_TERCER_NIVEL,14969,22.73,14.3
D+2,SIN_RELACION_DIRECTA_IDENTIFICADA,15084,22.9,14.32
D+2,VECINO_DEL_CONFIRMADOR,2808,4.26,13.9
D+3,CANDIDATO_ORIGINAL_ALTERNATIVO,4686,7.07,14.57
D+3,COMPANERO_DEL_CONFIRMADOR,1841,2.78,14.22
D+3,CONFIRMADOR_ORIGINAL,520,0.78,14.58
D+3,FUERTE_ALTERNATIVO,649,0.98,15.23
D+3,FUERTE_EXACTO,522,0.79,14.99
D+3,MISMO_CODIGO_T1,2451,3.7,14.9
D+3,MISMO_CODIGO_T2,3525,5.31,14.83
D+3,MISMO_GRUPO_T1,2451,3.7,14.9
D+3,MISMO_GRUPO_T2,3525,5.31,14.83
D+3,POSICION_T1_ADYACENTE,713,1.07,15.12
D+3,POSICION_T1_CERCANA,831,1.25,14.67
D+3,POSICION_T1_LEJANA,385,0.58,14.85
D+3,POSICION_T2_ADYACENTE,763,1.15,13.79
D+3,RELACION_DE_SEGUNDO_NIVEL,10598,15.98,14.16
D+3,RELACION_DE_TERCER_NIVEL,14837,22.37,14.17
D+3,SIN_RELACION_DIRECTA_IDENTIFICADA,15024,22.65,14.27
D+3,VECINO_DEL_CONFIRMADOR,3005,4.53,14.88
D+4,CANDIDATO_ORIGINAL_ALTERNATIVO,4541,6.91,14.12
D+4,COMPANERO_DEL_CONFIRMADOR,1854,2.82,14.32
D+4,CONFIRMADOR_ORIGINAL,503,0.77,14.1
D+4,FUERTE_ALTERNATIVO,563,0.86,13.21
D+4,FUERTE_EXACTO,487,0.74,13.98
D+4,MISMO_CODIGO_T1,2322,3.53,14.11
D+4,MISMO_CODIGO_T2,3482,5.3,14.65
D+4,MISMO_GRUPO_T1,2322,3.53,14.11
D+4,MISMO_GRUPO_T2,3482,5.3,14.65
D+4,POSICION_T1_ADYACENTE,642,0.98,13.62
D+4,POSICION_T1_CERCANA,789,1.2,13.93
D+4,POSICION_T1_LEJANA,404,0.61,15.59
D+4,POSICION_T2_ADYACENTE,847,1.29,15.3
D+4,RELACION_DE_SEGUNDO_NIVEL,10662,16.23,14.25
D+4,RELACION_DE_TERCER_NIVEL,14875,22.64,14.21
D+4,SIN_RELACION_DIRECTA_IDENTIFICADA,14957,22.76,14.2
D+4,VECINO_DEL_CONFIRMADOR,2979,4.53,14.75
D+5,CANDIDATO_ORIGINAL_ALTERNATIVO,4728,7.24,14.7
D+5,COMPANERO_DEL_CONFIRMADOR,1808,2.77,13.97
D+5,CONFIRMADOR_ORIGINAL,442,0.68,12.39
D+5,FUERTE_ALTERNATIVO,595,0.91,13.96
D+5,FUERTE_EXACTO,473,0.72,13.58
D+5,MISMO_CODIGO_T1,2329,3.57,14.16
D+5,MISMO_CODIGO_T2,3271,5.01,13.76
D+5,MISMO_GRUPO_T1,2329,3.57,14.16
D+5,MISMO_GRUPO_T2,3271,5.01,13.76
D+5,POSICION_T1_ADYACENTE,698,1.07,14.8
D+5,POSICION_T1_CERCANA,792,1.21,13.99
D+5,POSICION_T1_LEJANA,366,0.56,14.12
D+5,POSICION_T2_ADYACENTE,747,1.14,13.5
D+5,RELACION_DE_SEGUNDO_NIVEL,10734,16.44,14.34
D+5,RELACION_DE_TERCER_NIVEL,14816,22.69,14.15
D+5,SIN_RELACION_DIRECTA_IDENTIFICADA,15058,23.06,14.3
D+5,VECINO_DEL_CONFIRMADOR,2829,4.33,14.01
