case_date,fuerte,origin,confirmer,first_day_offset,first_date,first_lottery,first_draw_position,first_position_label,total_appearances,distinct_days,distinct_lotteries,source_reference
2019-07-24,7,42,9,2,2019-07-26,Quiniela Leidsa,1,1ro,2,2,2,116735
2019-07-24,7,42,70,2,2019-07-26,Quiniela Leidsa,1,1ro,2,2,2,116735
2019-07-24,50,42,5,5,2019-07-29,New York 2:30,1,1ro,1,1,1,47625
2019-07-27,11,35,91,1,2019-07-28,New York 2:30,1,1ro,4,4,3,47626
2019-07-27,90,46,35,5,2019-08-01,Quiniela Leidsa,2,2do,2,2,2,116729
2019-07-29,10,37,1,2,2019-07-31,New York 10:30,1,1ro,2,2,2,50086
2019-07-30,93,41,97,6,2019-08-05,Quiniela Real,1,1ro,1,1,1,36035
2019-08-01,23,42,73,2,2019-08-03,Quiniela Leidsa,3,3ro,1,1,1,116727
2019-08-01,71,42,89,1,2019-08-02,Gana Mas,2,2do,3,3,3,163137
2019-08-04,12,43,71,1,2019-08-05,Quiniela Real,3,3ro,1,1,1,36035
2019-08-04,60,43,6,1,2019-08-05,Gana Mas,3,3ro,2,2,2,163134
2019-08-06,72,40,34,1,2019-08-07,Gana Mas,3,3ro,2,2,2,163132
2019-08-06,72,40,59,1,2019-08-07,Gana Mas,3,3ro,2,2,2,163132
2019-08-07,53,28,29,4,2019-08-11,Quiniela Loteka,2,2do,1,1,1,1278
2019-08-09,96,54,15,1,2019-08-10,Quiniela Real,1,1ro,1,1,1,36030
2019-08-10,77,32,73,5,2019-08-15,Quiniela Loteka,1,1ro,1,1,1,1274
2019-08-11,29,41,9,1,2019-08-12,Gana Mas,2,2do,2,2,2,163127
2019-08-11,42,37,9,2,2019-08-13,Quiniela Leidsa,2,2do,2,2,2,116717
2019-08-11,89,48,41,1,2019-08-12,Quiniela Loteka,3,3ro,3,2,3,1277
2019-08-11,93,41,48,1,2019-08-12,New York 10:30,2,2do,1,1,1,50074
2019-08-12,85,36,52,2,2019-08-14,Quiniela Real,1,1ro,1,1,1,36026
2019-08-13,84,47,94,1,2019-08-14,New York 2:30,3,3ro,3,2,3,47609
2019-08-14,52,38,85,3,2019-08-17,Loteria Nacional,2,2do,1,1,1,109192
2019-08-15,87,33,77,6,2019-08-21,New York 10:30,3,3ro,2,2,2,50065
2019-08-17,71,42,12,1,2019-08-18,Quiniela Loteka,3,3ro,1,1,1,1271
2019-08-18,22,44,7,2,2019-08-20,New York 2:30,1,1ro,2,2,1,47603
2019-08-21,80,45,8,4,2019-08-25,New York 2:30,3,3ro,2,1,2,47598
2019-08-26,50,42,5,3,2019-08-29,Quiniela Leidsa,2,2do,5,2,4,116701
2019-08-27,28,43,77,5,2019-09-01,Quiniela Leidsa,1,1ro,1,1,1,116698
2019-08-27,44,43,53,4,2019-08-31,Gana Mas,2,2do,1,1,1,163109
2019-08-27,44,43,63,4,2019-08-31,Gana Mas,2,2do,1,1,1,163109
2019-08-28,10,37,1,1,2019-08-29,Gana Mas,2,2do,5,4,3,163111
2019-08-28,42,37,29,4,2019-09-01,Quiniela Real,2,2do,1,1,1,36008
2019-09-03,40,49,4,5,2019-09-08,Quiniela Loteka,3,3ro,1,1,1,1250
2019-09-07,34,51,59,3,2019-09-10,Loteria Nacional,3,3ro,3,3,3,109168
2019-09-07,91,44,57,1,2019-09-08,Quiniela Real,1,1ro,3,3,3,36001
2019-09-08,11,35,91,2,2019-09-10,Quiniela Real,2,2do,2,2,2,35999
2019-09-08,53,28,35,2,2019-09-10,New York 10:30,2,2do,2,2,2,50045
2019-09-11,42,37,22,1,2019-09-12,New York 2:30,2,2do,2,2,2,47580
2019-09-11,65,52,37,7,2019-09-18,Quiniela Leidsa,2,2do,1,1,1,116681
2019-09-11,76,34,27,3,2019-09-14,Loteria Nacional,1,1ro,2,2,1,109164
2019-09-12,76,34,68,2,2019-09-14,Loteria Nacional,1,1ro,2,2,1,109164
2019-09-14,16,27,25,5,2019-09-19,Quiniela Loteka,1,1ro,1,1,1,1239
