cycle,count
F→-1→F,140
A→B→A:70→84→70,31
A→B→A:42→21→42,31
A→B→A:7→11→7,29
A→B→A:7→31→7,29
A→B→A:7→28→7,29
A→B→A:7→92→7,28
A→B→A:9→73→9,28
A→B→A:70→90→70,28
A→B→A:9→32→9,27
A→B→A:70→32→70,27
A→B→A:70→81→70,27
A→B→A:9→25→9,27
A→B→A:42→14→42,26
A→B→A:42→44→42,26
A→B→A:42→31→42,26
A→B→A:70→21→70,26
A→B→A:42→19→42,25
A→B→A:42→6→42,25
A→B→A:9→8→9,25
A→B→A:9→67→9,25
A→B→A:7→41→7,24
A→B→A:70→68→70,24
A→B→A:70→98→70,24
A→B→A:44→47→44,24
A→B→A:9→86→9,24
A→B→A:9→21→9,24
A→B→A:9→75→9,24
A→B→A:44→86→44,24
A→B→A:9→88→9,24
A→B→A:9→16→9,24
A→B→A:9→20→9,24
A→B→A:42→90→42,24
A→B→A:7→61→7,23
A→B→A:7→97→7,23
A→B→A:42→79→42,23
A→B→A:42→25→42,23
A→B→A:42→39→42,23
A→B→A:42→93→42,23
A→B→A:42→49→42,23
A→B→A:7→18→7,23
A→B→A:44→84→44,23
A→B→A:7→26→7,23
A→B→A:9→31→9,23
A→B→A:70→43→70,23
A→B→A:42→5→42,23
A→B→A:7→8→7,23
A→B→A:70→3→70,23
A→B→A:70→33→70,23
A→B→A:7→83→7,22
A→B→A:7→79→7,22
A→B→A:42→33→42,22
A→B→A:42→26→42,22
A→B→A:42→40→42,22
A→B→A:42→15→42,22
A→B→A:70→29→70,22
A→B→A:7→29→7,22
A→B→A:9→52→9,22
A→B→A:9→59→9,22
A→B→A:9→22→9,22
A→B→A:9→29→9,22
A→B→A:9→38→9,22
A→B→A:70→35→70,22
A→B→A:22→19→22,22
A→B→A:7→49→7,22
A→B→A:9→70→9,22
A→B→A:7→21→7,21
A→B→A:7→39→7,21
A→B→A:90→99→90,21
A→B→A:29→33→29,21
A→B→A:70→99→70,21
A→B→A:42→63→42,21
A→B→A:70→91→70,21
A→B→A:70→76→70,21
A→B→A:44→21→44,21
A→B→A:44→23→44,21
A→B→A:9→53→9,21
A→B→A:9→5→9,21
A→B→A:9→92→9,21
