t1_code,number,t1_pos,as_fuerte,as_posterior,as_origin,connections,geometric_center,center_by_fuerte_activations,center_by_posterior,center_by_connections
26,27,1,36,52,0,88,38,27,38,27
26,38,2,0,55,0,55,38,27,38,27
27,16,1,7,6,0,13,16,16,16,16
28,21,1,7,181,0,188,26,53,21,53
28,26,2,31,162,0,193,26,53,21,53
28,53,3,72,137,0,209,26,53,21,53
29,15,1,6,12,0,18,15,15,15,15
30,25,1,9,51,0,60,57,57,57,57
30,57,2,29,67,0,96,57,57,57,57
31,3,1,22,38,0,60,88,3,88,88
31,24,2,0,53,0,53,88,3,88,88
31,88,3,12,61,0,73,88,3,88,88
31,99,4,0,39,0,39,88,3,88,88
32,77,1,41,42,0,83,77,77,77,77
33,2,1,5,91,0,96,82,87,82,87
33,39,2,4,85,0,89,82,87,82,87
33,82,3,20,119,0,139,82,87,82,87
33,87,4,38,109,0,147,82,87,82,87
34,1,1,13,73,0,86,33,76,1,76
34,17,2,5,65,0,70,33,76,1,76
34,33,3,0,70,0,70,33,76,1,76
34,49,4,0,72,0,72,33,76,1,76
34,76,5,29,61,0,90,33,76,1,76
35,6,1,7,66,0,73,43,11,86,11
35,11,2,20,78,0,98,43,11,86,11
35,43,3,0,74,0,74,43,11,86,11
35,54,4,15,64,0,79,43,11,86,11
35,86,5,14,80,0,94,43,11,86,11
36,32,1,11,84,0,95,64,48,85,85
36,48,2,23,77,0,100,64,48,85,85
36,64,3,0,82,0,82,64,48,85,85
36,85,4,20,89,0,109,64,48,85,85
37,5,1,6,155,0,161,10,42,42,42
37,10,2,16,153,0,169,10,42,42,42
37,42,3,85,183,0,268,10,42,42,42
38,20,1,16,199,0,215,52,63,47,63
38,31,2,10,182,0,192,52,63,47,63
38,47,3,0,204,0,204,52,63,47,63
38,52,4,18,187,0,205,52,63,47,63
38,63,5,75,186,0,261,52,63,47,63
38,100,6,14,0,0,14,52,63,47,63
39,9,1,81,288,0,369,46,9,41,9
39,14,2,11,317,0,328,46,9,41,9
39,30,3,21,260,0,281,46,9,41,9
39,41,4,31,337,0,368,46,9,41,9
39,46,5,19,273,0,292,46,9,41,9
39,62,6,7,278,0,285,46,9,41,9
39,78,7,0,297,0,297,46,9,41,9
39,94,8,32,272,0,304,46,9,41,9
40,8,1,10,172,0,182,56,56,19,19
40,19,2,19,232,0,251,56,56,19,19
40,51,3,9,158,0,167,56,56,19,19
40,56,4,38,157,0,195,56,56,19,19
40,67,5,16,176,0,192,56,56,19,19
40,72,6,30,187,0,217,56,56,19,19
41,13,1,9,145,0,154,29,29,29,29
41,29,2,79,162,0,241,29,29,29,29
41,93,3,22,155,0,177,29,29,29,29
42,7,1,79,250,0,329,50,7,71,7
42,18,2,0,233,0,233,50,7,71,7
42,23,3,37,236,0,273,50,7,71,7
42,50,4,11,207,0,218,50,7,71,7
42,55,5,0,239,0,239,50,7,71,7
42,66,6,0,239,0,239,50,7,71,7
42,71,7,43,275,0,318,50,7,71,7
43,12,1,24,255,0,279,60,44,81,81
43,28,2,41,309,0,350,60,44,81,81
43,44,3,81,250,0,331,60,44,81,81
43,60,4,9,262,0,271,60,44,81,81
43,81,5,15,356,0,371,60,44,81,81
43,92,6,32,298,0,330,60,44,81,81
44,22,1,75,312,0,387,70,70,70,70
44,59,2,28,305,0,333,70,70,70,70
44,70,3,76,358,0,434,70,70,70,70
44,75,4,10,330,0,340,70,70,70,70
44,91,5,27,328,0,355,70,70,70,70
45,69,1,32,65,0,97,80,69,69,69
45,80,2,13,61,0,74,80,69,69,69
46,37,1,10,144,0,154,74,90,58,90
46,58,2,16,163,0,179,74,90,58,90
46,74,3,13,152,0,165,74,90,58,90
46,90,4,65,146,0,211,74,90,58,90
47,4,1,5,112,0,117,68,68,79,79
47,36,2,0,109,0,109,68,68,79,79
47,68,3,31,90,0,121,68,68,79,79
47,79,4,24,115,0,139,68,68,79,79
47,84,5,16,114,0,130,68,68,79,79
48,73,1,35,96,0,131,89,73,89,89
48,89,2,33,99,0,132,89,73,89,89
49,35,1,66,113,0,179,40,35,40,35
49,40,2,6,137,0,143,40,35,40,35
49,83,3,23,100,0,123,40,35,40,35
50,45,1,8,6,0,14,45,45,45,45
51,34,1,27,37,0,64,98,34,34,34
51,98,2,0,34,0,34,98,34,34,34
52,65,1,24,60,0,84,97,65,65,65
52,97,2,11,51,0,62,97,65,65,65
54,96,1,6,12,0,18,96,96,96,96
