case_date,fuerte,t1_code,t1_group,t1_pos,num_-1,num_+1,num_-2,num_+2,day_-1,day_+1,day_fuerte,sequences,fuerte_appeared
2019-07-24,7,42,7|18|23|50|55|66|71,1,,18,,23,,2,2,,True
2019-07-24,50,42,7|18|23|50|55|66|71,4,23,55,18,66,1,2,5,-1→F|+1→F,True
2019-07-27,11,35,6|11|43|54|86,2,6,43,,54,6,4,1,F→-1|F→+1|F→+2|F→+1→+2|F→-1→F,True
2019-07-27,86,35,6|11|43|54|86,5,54,,43,,5,,,,False
2019-07-27,90,46,37|58|74|90,4,74,,58,,4,,5,-1→F,True
2019-07-29,5,37,5|10|42,1,,10,,42,,2,,,False
2019-07-29,10,37,5|10|42,2,5,42,,,,3,2,F→+1,True
2019-07-30,93,41,13|29|93,3,29,,13,,1,,6,-1→F,True
2019-08-01,23,42,7|18|23|50|55|66|71,3,18,50,7,55,,3,2,F→+1|F→-2|F→+2|F→+1→+2,True
2019-08-01,71,42,7|18|23|50|55|66|71,7,66,,55,,,,1,F→-2,True
2019-08-02,26,28,21|26|53,2,21,53,,,1,3,,,False
2019-08-02,100,38,20|31|47|52|63|100,6,63,,52,,1,,,,False
2019-08-04,12,43,12|28|44|60|81|92,1,,28,,44,,1,1,F→+2,True
2019-08-04,60,43,12|28|44|60|81|92,4,44,81,28,92,4,3,1,F→-1|F→+1|F→+2|F→+1→+2|F→-1→F,True
2019-08-06,56,40,8|19|51|56|67|72,4,51,67,19,72,1,1,,,False
2019-08-06,72,40,8|19|51|56|67|72,6,67,,56,,1,,1,,True
2019-08-07,53,28,21|26|53,3,26,,21,,,,4,,True
2019-08-09,96,54,96,1,,,,,,,1,,True
2019-08-10,23,42,7|18|23|50|55|66|71,3,18,50,7,55,1,,,,False
2019-08-10,77,32,77,1,,,,,,,5,,True
2019-08-11,29,41,13|29|93,2,13,93,,,1,1,1,,True
2019-08-11,42,37,5|10|42,3,10,,5,,2,,2,F→-2,True
2019-08-11,89,48,73|89,2,73,,,,1,,1,,True
2019-08-11,93,41,13|29|93,3,29,,13,,1,,1,,True
2019-08-12,85,36,32|48|64|85,4,64,,48,,2,,2,,True
2019-08-13,68,47,4|36|68|79|84,3,36,79,4,84,1,,,,False
2019-08-13,84,47,4|36|68|79|84,5,79,,68,,,,1,,True
2019-08-14,52,38,20|31|47|52|63|100,4,47,63,31,100,1,,3,-1→F,True
2019-08-15,87,33,2|39|82|87,4,82,,39,,5,,6,-1→F,True
2019-08-17,71,42,7|18|23|50|55|66|71,7,66,,55,,1,,1,F→-2,True
2019-08-18,22,44,22|59|70|75|91,1,,59,,70,,,2,,True
2019-08-18,70,44,22|59|70|75|91,3,59,75,22,91,,,,,False
2019-08-20,29,41,13|29|93,2,13,93,,,5,2,,,False
2019-08-20,69,45,69|80,1,,80,,,,5,,,False
2019-08-21,80,45,69|80,2,69,,,,7,,4,F→-1,True
2019-08-23,90,46,37|58|74|90,4,74,,58,,1,,,,False
2019-08-26,50,42,7|18|23|50|55|66|71,4,23,55,18,66,1,3,3,-1→F,True
2019-08-27,28,43,12|28|44|60|81|92,2,12,44,,60,6,4,5,F→-1|+1→F,True
2019-08-27,44,43,12|28|44|60|81|92,3,28,60,12,81,5,5,4,F→-1|F→+1|F→-2|F→+2|F→-1→-2|F→+1→+2,True
2019-08-28,10,37,5|10|42,2,5,42,,,1,4,1,F→+1,True
2019-08-28,42,37,5|10|42,3,10,,5,,1,,4,-1→F,True
2019-09-02,83,49,35|40|83,3,40,,35,,6,,,,False
2019-09-03,40,49,35|40|83,2,35,83,,,2,,5,-1→F,True
2019-09-03,68,47,4|36|68|79|84,3,36,79,4,84,2,,,,False
2019-09-04,65,52,65|97,1,,97,,,,4,,,False
2019-09-07,34,51,34|98,1,,98,,,,,3,,True
2019-09-07,91,44,22|59|70|75|91,5,75,,70,,4,,1,F→-1|F→-1→F,True
2019-09-08,11,35,6|11|43|54|86,2,6,43,,54,2,4,2,F→+1,True
2019-09-08,53,28,21|26|53,3,26,,21,,1,,2,-1→F|F→-2,True
2019-09-11,42,37,5|10|42,3,10,,5,,5,,1,F→-1|F→-1→F,True
2019-09-11,65,52,65|97,1,,97,,,,,7,,True
2019-09-11,76,34,1|17|33|49|76,5,49,,33,,4,,3,F→-1|F→-2|F→-1→-2|F→-1→F,True
2019-09-12,44,43,12|28|44|60|81|92,3,28,60,12,81,2,1,,,False
2019-09-12,76,34,1|17|33|49|76,5,49,,33,,3,,2,F→-1|F→-2|F→-1→-2|F→-1→F,True
2019-09-12,92,43,12|28|44|60|81|92,6,81,,60,,3,,,,False
2019-09-14,16,27,16,1,,,,,,,5,,True
2019-09-15,56,40,8|19|51|56|67|72,4,51,67,19,72,3,1,3,+1→F|F→-2|F→+2,True
2019-09-16,60,43,12|28|44|60|81|92,4,44,81,28,92,5,7,4,F→-1|F→+1|F→-2|F→-1→F,True
2019-09-19,9,39,9|14|30|41|46|62|78|94,1,,14,,30,,1,3,+1→F,True
2019-09-19,25,30,25|57,1,,57,,,,1,3,+1→F,True
2019-09-20,7,42,7|18|23|50|55|66|71,1,,18,,23,,6,6,,True
2019-09-20,11,35,6|11|43|54|86,2,6,43,,54,2,6,5,-1→F|F→+1|F→+2|F→+1→+2,True
2019-09-20,86,35,6|11|43|54|86,5,54,,43,,7,,1,F→-1|F→-2,True
2019-09-21,87,33,2|39|82|87,4,82,,39,,7,,4,F→-1,True
2019-09-22,57,30,25|57,2,25,,,,7,,5,F→-1,True
2019-09-23,76,34,1|17|33|49|76,5,49,,33,,,,2,,True
2019-09-23,87,33,2|39|82|87,4,82,,39,,5,,2,F→-1|F→-2|F→-1→-2,True
2019-09-25,69,45,69|80,1,,80,,,,2,2,,True
2019-09-25,80,45,69|80,2,69,,,,2,,2,,True
2019-09-26,26,28,21|26|53,2,21,53,,,5,2,3,F→-1|+1→F|F→-1→F,True
2019-09-28,69,45,69|80,1,,80,,,,3,4,+1→F,True
2019-09-29,27,26,27|38,1,,38,,,,6,3,F→+1,True
2019-09-30,56,40,8|19|51|56|67|72,4,51,67,19,72,,7,2,F→+1,True
2019-10-02,87,33,2|39|82|87,4,82,,39,,7,,1,F→-1|F→-2,True
2019-10-03,12,43,12|28|44|60|81|92,1,,28,,44,,3,,,False
2019-10-03,56,40,8|19|51|56|67|72,4,51,67,19,72,,4,4,,True
2019-10-03,72,40,8|19|51|56|67|72,6,67,,56,,4,,,,False
2019-10-05,63,38,20|31|47|52|63|100,5,52,100,47,,5,,,,False
2019-10-06,35,49,35|40|83,1,,40,,83,,,5,F→+2,True
2019-10-08,12,43,12|28|44|60|81|92,1,,28,,44,,,4,,True
2019-10-08,17,34,1|17|33|49|76,2,1,33,,49,1,1,2,-1→F|+1→F|F→+2,True
2019-10-09,57,30,25|57,2,25,,,,1,,7,-1→F,True
2019-10-14,3,31,3|24|88|99,1,,24,,88,,4,7,+1→F,True
2019-10-15,7,42,7|18|23|50|55|66|71,1,,18,,23,,1,4,+1→F,True
2019-10-19,91,44,22|59|70|75|91,5,75,,70,,,,2,,True
2019-10-21,45,50,45,1,,,,,,,,,False
2019-10-22,89,48,73|89,2,73,,,,3,,1,F→-1|F→-1→F,True
2019-10-23,3,31,3|24|88|99,1,,24,,88,,4,3,F→+1|F→+2,True
2019-10-24,3,31,3|24|88|99,1,,24,,88,,3,2,F→+1|F→+2,True
2019-10-25,27,26,27|38,1,,38,,,,1,1,,True
2019-10-25,29,41,13|29|93,2,13,93,,,1,6,4,-1→F|F→+1,True
2019-10-26,63,38,20|31|47|52|63|100,5,52,100,47,,4,,6,-1→F,True
2019-10-29,34,51,34|98,1,,98,,,,7,7,,True
2019-10-31,28,43,12|28|44|60|81|92,2,12,44,,60,,2,,,False
2019-10-31,44,43,12|28|44|60|81|92,3,28,60,12,81,,5,2,F→+1|F→+2|F→+1→+2,True
2019-11-02,7,42,7|18|23|50|55|66|71,1,,18,,23,,1,,,False
2019-11-03,3,31,3|24|88|99,1,,24,,88,,1,,,False
2019-11-03,29,41,13|29|93,2,13,93,,,2,,3,-1→F,True
2019-11-03,88,31,3|24|88|99,3,24,99,3,,1,1,6,-1→F|+1→F,True
2019-11-09,29,41,13|29|93,2,13,93,,,3,,2,F→-1,True
2019-11-09,56,40,8|19|51|56|67|72,4,51,67,19,72,6,1,,,False
2019-11-09,67,40,8|19|51|56|67|72,5,56,72,51,,,,1,F→-2,True
2019-11-10,57,30,25|57,2,25,,,,1,,,,False
2019-11-12,23,42,7|18|23|50|55|66|71,3,18,50,7,55,2,4,3,-1→F|F→+1|F→-2,True
2019-11-13,20,38,20|31|47|52|63|100,1,,31,,47,,2,6,+1→F,True
2019-11-14,53,28,21|26|53,3,26,,21,,5,,1,F→-1|F→-2,True
2019-11-14,90,46,37|58|74|90,4,74,,58,,,,1,F→-2,True
2019-11-16,96,54,96,1,,,,,,,1,,True
2019-11-17,29,41,13|29|93,2,13,93,,,,3,1,F→+1,True
2019-11-18,94,39,9|14|30|41|46|62|78|94,8,78,,62,,,,,,False
2019-11-19,72,40,8|19|51|56|67|72,6,67,,56,,6,,3,F→-1|F→-1→-2→F_partial,True
2019-11-21,71,42,7|18|23|50|55|66|71,7,66,,55,,6,,5,F→-1|F→-1→-2→F_partial,True
2019-11-22,29,41,13|29|93,2,13,93,,,,,3,,True
2019-11-23,35,49,35|40|83,1,,40,,83,,5,3,F→+1,True
2019-11-25,79,47,4|36|68|79|84,4,68,84,36,,1,1,1,F→-2,True
2019-11-26,9,39,9|14|30|41|46|62|78|94,1,,14,,30,,3,,,False
2019-11-26,94,39,9|14|30|41|46|62|78|94,8,78,,62,,1,,5,-1→F,True
2019-11-27,89,48,73|89,2,73,,,,,,,,False
2019-11-27,93,41,13|29|93,3,29,,13,,6,,5,F→-1|F→-1→F,True
2019-12-04,53,28,21|26|53,3,26,,21,,2,,1,F→-1,True
2019-12-05,7,42,7|18|23|50|55|66|71,1,,18,,23,,4,2,F→+1|F→+2,True
2019-12-07,27,26,27|38,1,,38,,,,7,4,F→+1,True
2019-12-08,76,34,1|17|33|49|76,5,49,,33,,7,,5,F→-1|F→-1→-2→F_partial,True
2019-12-10,12,43,12|28|44|60|81|92,1,,28,,44,,7,2,F→+1,True
2019-12-10,28,43,12|28|44|60|81|92,2,12,44,,60,2,,7,-1→F,True
2019-12-10,41,39,9|14|30|41|46|62|78|94,4,30,46,14,62,4,1,1,F→-1|F→+2,True
2019-12-13,44,43,12|28|44|60|81|92,3,28,60,12,81,4,3,6,-1→F|+1→F|F→-2,True
2019-12-13,92,43,12|28|44|60|81|92,6,81,,60,,3,,6,-1→F,True
2019-12-14,85,36,32|48|64|85,4,64,,48,,,,6,,True
2019-12-16,34,51,34|98,1,,98,,,,5,2,F→+1,True
2019-12-19,48,36,32|48|64|85,2,32,64,,85,1,3,1,F→+1,True
2019-12-20,77,32,77,1,,,,,,,2,,True
2019-12-20,89,48,73|89,2,73,,,,3,,3,,True
2019-12-24,79,47,4|36|68|79|84,4,68,84,36,,4,6,1,F→-1|F→+1|F→-2|F→-1→-2|F→-1→F,True
2019-12-25,26,28,21|26|53,2,21,53,,,2,1,,,False
2019-12-27,1,34,1|17|33|49|76,1,,17,,33,,1,7,+1→F,True
2019-12-27,42,37,5|10|42,3,10,,5,,1,,1,F→-2,True
