case_date,fuerte,origin,confirmer,t1_group,t1_pos_fuerte,first_t1_companion,first_t1_dist,first_t1_pos,first_t1_day,first_t1_lottery,first_t1_draw_position,first_related,first_related_primary,first_related_day,other_fuertes
2019-07-27,86,35,46,6|11|43|54|86,5,11,-3,2,1,New York 2:30,1,71,RELACION_DE_TERCER_NIVEL,1,11|90
2019-07-29,5,37,50,5|10|42,1,10,1,2,2,New York 10:30,1,28,RELACION_DE_TERCER_NIVEL,1,10
2019-08-02,26,28,34,21|26|53,2,21,-1,1,1,Quiniela Real,3,8,RELACION_DE_SEGUNDO_NIVEL,1,100
2019-08-02,100,38,1,20|31|47|52|63|100,6,63,-1,5,1,Loteria Nacional,3,42,RELACION_DE_SEGUNDO_NIVEL,1,26
2019-08-06,56,40,89,8|19|51|56|67|72,4,72,2,6,1,Gana Mas,3,17,CANDIDATO_ORIGINAL_ALTERNATIVO,1,72
2019-08-10,23,42,73,7|18|23|50|55|66|71,3,18,-1,2,1,New York 10:30,3,75,RELACION_DE_TERCER_NIVEL,1,77
2019-08-13,68,47,76,4|36|68|79|84,3,84,2,5,1,New York 2:30,3,63,RELACION_DE_TERCER_NIVEL,1,84
2019-08-18,70,44,7,22|59|70|75|91,3,91,2,5,1,Loteria Nacional,1,5,RELACION_DE_SEGUNDO_NIVEL,1,22
2019-08-20,29,41,22,13|29|93,2,93,1,3,2,Quiniela Loteka,1,55,RELACION_DE_SEGUNDO_NIVEL,1,69
2019-08-20,69,45,57,69|80,1,80,1,2,5,New York 2:30,3,8,RELACION_DE_SEGUNDO_NIVEL,1,29
2019-08-23,90,46,42,37|58|74|90,4,74,-1,3,1,Quiniela Loteka,1,83,RELACION_DE_SEGUNDO_NIVEL,1,
2019-09-02,83,49,3,35|40|83,3,35,-2,1,3,Gana Mas,2,41,RELACION_DE_SEGUNDO_NIVEL,1,
2019-09-03,68,47,92,4|36|68|79|84,3,4,-2,1,1,New York 2:30,2,8,RELACION_DE_TERCER_NIVEL,1,40
2019-09-04,65,52,37,65|97,1,97,1,2,4,Loteria Nacional,1,64,RELACION_DE_TERCER_NIVEL,1,
2019-09-12,44,43,63,12|28|44|60|81|92,3,60,1,4,1,New York 10:30,1,7,MISMO_GRUPO_T2,1,76|92
2019-09-12,92,43,68,12|28|44|60|81|92,6,60,-2,4,1,New York 10:30,1,7,RELACION_DE_SEGUNDO_NIVEL,1,44|76
2019-10-03,12,43,89,12|28|44|60|81|92,1,44,2,3,1,Quiniela Real,2,42,RELACION_DE_SEGUNDO_NIVEL,1,56|72
2019-10-03,72,40,26,8|19|51|56|67|72,6,19,-4,2,2,Quiniela Real,1,42,RELACION_DE_TERCER_NIVEL,1,12|56
2019-10-05,63,38,22,20|31|47|52|63|100,5,31,-3,2,1,Gana Mas,2,21,RELACION_DE_SEGUNDO_NIVEL,1,
2019-10-21,45,50,32,45,1,,,,,,,32,MISMO_GRUPO_T2,1,
2019-10-31,28,43,87,12|28|44|60|81|92,2,44,1,3,2,Quiniela Leidsa,2,74,RELACION_DE_TERCER_NIVEL,1,44
