case_date,fuerte,origin,confirmer,n_confirmers,n_fuertes_same_day,all_fuertes,t1_pos_fuerte,fuerte_appeared,first_day_offset
2019-07-24,7,42,9,2,2,7|50,1,True,2
2019-07-24,50,42,5,1,2,7|50,4,True,5
2019-07-27,11,35,91,1,3,11|86|90,2,True,1
2019-07-27,86,35,46,1,3,11|86|90,5,False,
2019-07-27,90,46,35,1,3,11|86|90,4,True,5
2019-07-29,5,37,50,1,2,5|10,1,False,
2019-07-29,10,37,1,1,2,5|10,2,True,2
2019-08-01,23,42,73,1,2,23|71,3,True,2
2019-08-01,71,42,89,1,2,23|71,7,True,1
2019-08-02,26,28,34,1,2,26|100,2,False,
2019-08-02,100,38,1,1,2,26|100,6,False,
2019-08-04,12,43,71,1,2,12|60,1,True,1
2019-08-04,60,43,6,1,2,12|60,4,True,1
2019-08-06,56,40,89,1,2,56|72,4,False,
2019-08-06,72,40,34,2,2,56|72,6,True,1
2019-08-10,23,42,73,1,2,23|77,3,False,
2019-08-10,77,32,73,1,2,23|77,1,True,5
2019-08-11,29,41,9,1,4,29|42|89|93,2,True,1
2019-08-11,42,37,9,1,4,29|42|89|93,3,True,2
2019-08-11,89,48,41,1,4,29|42|89|93,2,True,1
2019-08-11,93,41,48,1,4,29|42|89|93,3,True,1
2019-08-13,68,47,76,1,2,68|84,3,False,
2019-08-13,84,47,94,1,2,68|84,5,True,1
2019-08-18,22,44,7,1,2,22|70,1,True,2
2019-08-18,70,44,7,1,2,22|70,3,False,
2019-08-20,29,41,22,1,2,29|69,2,False,
2019-08-20,69,45,57,1,2,29|69,1,False,
2019-08-27,28,43,77,1,2,28|44,2,True,5
2019-08-27,44,43,53,2,2,28|44,3,True,4
2019-08-28,10,37,1,1,2,10|42,2,True,1
2019-08-28,42,37,29,1,2,10|42,3,True,4
2019-09-03,40,49,4,1,2,40|68,2,True,5
2019-09-03,68,47,92,1,2,40|68,3,False,
2019-09-07,34,51,59,1,2,34|91,1,True,3
2019-09-07,91,44,57,1,2,34|91,5,True,1
2019-09-08,11,35,91,1,2,11|53,2,True,2
2019-09-08,53,28,35,1,2,11|53,3,True,2
2019-09-11,42,37,22,1,3,42|65|76,3,True,1
2019-09-11,65,52,37,1,3,42|65|76,1,True,7
2019-09-11,76,34,27,1,3,42|65|76,5,True,3
2019-09-12,44,43,63,1,3,44|76|92,3,False,
2019-09-12,76,34,68,1,3,44|76|92,5,True,2
2019-09-12,92,43,68,1,3,44|76|92,6,False,
2019-09-19,9,39,70,1,2,9|25,1,True,3
2019-09-19,25,30,16,1,2,9|25,1,True,3
2019-09-20,7,42,35,1,3,7|11|86,1,True,6
2019-09-20,11,35,57,1,3,7|11|86,2,True,5
2019-09-20,86,35,19,1,3,7|11|86,5,True,1
2019-09-23,76,34,27,1,2,76|87,5,True,2
2019-09-23,87,33,23,1,2,76|87,4,True,2
2019-09-25,69,45,11,1,2,69|80,1,True,2
2019-09-25,80,45,8,1,2,69|80,2,True,2
