number,t1_code,t1_group,t1_pos,num_-1,num_+1,num_-2,num_+2,t2_group,times_fuerte,exact_any,times_origin,times_confirmer,produced_-1_count,appeared_as_-1_count
1,34,1|17|33|49|76,1,,17,,33,1|10|100,13,9,0,24,0,5
2,33,2|39|82|87,1,,39,,82,2|20,5,3,0,16,0,4
3,31,3|24|88|99,1,,24,,88,3|30|83,22,13,0,23,0,0
4,47,4|36|68|79|84,1,,36,,68,4|40,5,4,0,6,0,0
5,37,5|10|42,1,,10,,42,5|50,6,4,0,11,0,13
6,35,6|11|43|54|86,1,,11,,43,6|60,7,4,0,9,0,17
7,42,7|18|23|50|55|66|71,1,,18,,23,7|9|22|29|35|42|44|53|63|70|90,79,60,0,101,0,0
8,40,8|19|51|56|67|72,1,,19,,51,8|80,10,8,0,13,0,15
9,39,9|14|30|41|46|62|78|94,1,,14,,30,7|9|22|29|35|42|44|53|63|70|90,81,61,0,97,0,9
10,37,5|10|42,2,5,42,,,1|10|100,16,11,0,19,13,64
11,35,6|11|43|54|86,2,6,43,,54,11|57|69|91,20,19,0,22,17,0
12,43,12|28|44|60|81|92,1,,28,,44,12|41|56|71|89,24,18,0,35,0,32
13,41,13|29|93,1,,29,,93,13|17,9,6,0,5,0,53
14,39,9|14|30|41|46|62|78|94,2,9,30,,41,14|54,11,10,0,15,9,15
15,29,15,1,,,,,15|96,6,5,0,6,0,0
16,27,16,1,,,,,16|25,7,4,0,9,0,0
17,34,1|17|33|49|76,2,1,33,,49,13|17,5,4,0,9,5,0
18,42,7|18|23|50|55|66|71,2,7,23,,50,18,0,0,0,0,0,28
19,40,8|19|51|56|67|72,2,8,51,,56,19|46|86,19,15,0,17,15,6
20,38,20|31|47|52|63|100,1,,31,,47,2|20,16,13,0,5,0,7
21,28,21|26|53,1,,26,,53,21|51,7,7,0,9,0,28
22,44,22|59|70|75|91,1,,59,,70,7|9|22|29|35|42|44|53|63|70|90,75,48,0,109,0,21
23,42,7|18|23|50|55|66|71,3,18,50,7,55,23|28|73|77|87,37,28,0,54,28,11
24,31,3|24|88|99,2,3,88,,99,24,0,0,0,0,0,11
25,30,25|57,1,,57,,,16|25,9,9,0,7,0,23
26,28,21|26|53,2,21,53,,,26|34|59|72,31,22,37,31,28,57
27,26,27|38,1,,38,,,27|68|76|92,36,27,7,29,0,0
28,43,12|28|44|60|81|92,2,12,44,,60,23|28|73|77|87,41,35,132,42,32,59
29,41,13|29|93,2,13,93,,,7|9|22|29|35|42|44|53|63|70|90,79,58,6,108,53,19
30,39,9|14|30|41|46|62|78|94,3,14,41,9,46,3|30|83,21,14,40,27,15,26
31,38,20|31|47|52|63|100,2,20,47,,52,31|74,10,8,34,13,7,0
32,36,32|48|64|85,1,,48,,64,32|45,11,6,43,8,0,19
33,34,1|17|33|49|76,3,17,49,1,76,33,0,0,70,0,0,0
34,51,34|98,1,,98,,,26|34|59|72,27,23,48,32,0,0
35,49,35|40|83,1,,40,,83,7|9|22|29|35|42|44|53|63|70|90,66,52,57,74,0,5
36,47,4|36|68|79|84,2,4,68,,79,36,0,0,55,0,0,24
37,46,37|58|74|90,1,,58,,74,37|65|82,10,8,131,23,0,10
