from,to,count,type
44,81,152,fuerte_to_result_all
42,68,147,fuerte_to_result_all
53,91,144,fuerte_to_result_all
42,45,144,fuerte_to_result_all
42,42,143,fuerte_to_result_all
42,2,143,fuerte_to_result_all
70,11,143,fuerte_to_result_all
9,31,143,fuerte_to_result_all
42,61,142,fuerte_to_result_all
44,2,142,fuerte_to_result_all
9,59,142,fuerte_to_result_all
44,21,142,fuerte_to_result_all
22,11,141,fuerte_to_result_all
9,21,141,fuerte_to_result_all
42,21,140,fuerte_to_result_all
44,8,140,fuerte_to_result_all
44,45,140,fuerte_to_result_all
42,20,139,fuerte_to_result_all
7,84,138,fuerte_to_result_all
42,86,138,fuerte_to_result_all
44,87,138,fuerte_to_result_all
44,88,138,fuerte_to_result_all
42,49,138,fuerte_to_result_all
44,96,138,fuerte_to_result_all
7,41,137,fuerte_to_result_all
44,55,137,fuerte_to_result_all
7,30,136,fuerte_to_result_all
29,6,136,fuerte_to_result_all
44,51,136,fuerte_to_result_all
44,91,136,fuerte_to_result_all
9,91,136,fuerte_to_result_all
29,76,135,fuerte_to_result_all
9,75,135,fuerte_to_result_all
9,16,135,fuerte_to_result_all
7,10,134,fuerte_to_result_all
42,25,134,fuerte_to_result_all
42,8,134,fuerte_to_result_all
9,49,134,fuerte_to_result_all
63,29,134,fuerte_to_result_all
44,11,133,fuerte_to_result_all
9,96,133,fuerte_to_result_all
7,3,132,fuerte_to_result_all
42,65,132,fuerte_to_result_all
44,20,132,fuerte_to_result_all
44,49,132,fuerte_to_result_all
42,50,132,fuerte_to_result_all
9,20,132,fuerte_to_result_all
9,47,132,fuerte_to_result_all
9,43,132,fuerte_to_result_all
63,47,132,fuerte_to_result_all
7,97,131,fuerte_to_result_all
29,88,131,fuerte_to_result_all
42,29,131,fuerte_to_result_all
42,6,131,fuerte_to_result_all
42,1,131,fuerte_to_result_all
42,83,131,fuerte_to_result_all
44,61,131,fuerte_to_result_all
70,86,131,fuerte_to_result_all
7,90,130,fuerte_to_result_all
7,11,130,fuerte_to_result_all
29,41,130,fuerte_to_result_all
42,12,130,fuerte_to_result_all
42,63,130,fuerte_to_result_all
42,81,130,fuerte_to_result_all
70,84,130,fuerte_to_result_all
9,77,130,fuerte_to_result_all
9,10,130,fuerte_to_result_all
9,41,130,fuerte_to_result_all
70,81,130,fuerte_to_result_all
70,70,130,fuerte_to_result_all
7,79,129,fuerte_to_result_all
29,39,129,fuerte_to_result_all
42,11,129,fuerte_to_result_all
42,76,129,fuerte_to_result_all
42,19,129,fuerte_to_result_all
42,5,129,fuerte_to_result_all
22,84,129,fuerte_to_result_all
9,14,129,fuerte_to_result_all
63,97,129,fuerte_to_result_all
63,8,129,fuerte_to_result_all
42,90,129,fuerte_to_result_all
22,70,129,fuerte_to_result_all
9,92,129,fuerte_to_result_all
7,88,128,fuerte_to_result_all
29,86,128,fuerte_to_result_all
29,42,128,fuerte_to_result_all
29,30,128,fuerte_to_result_all
42,79,128,fuerte_to_result_all
42,34,128,fuerte_to_result_all
22,76,128,fuerte_to_result_all
70,76,128,fuerte_to_result_all
29,97,128,fuerte_to_result_all
44,86,128,fuerte_to_result_all
7,8,128,fuerte_to_result_all
9,13,128,fuerte_to_result_all
7,37,127,fuerte_to_result_all
7,34,127,fuerte_to_result_all
7,91,127,fuerte_to_result_all
29,79,127,fuerte_to_result_all
42,37,127,fuerte_to_result_all
22,40,127,fuerte_to_result_all
70,32,127,fuerte_to_result_all
44,58,127,fuerte_to_result_all
44,4,127,fuerte_to_result_all
9,81,127,fuerte_to_result_all
9,93,127,fuerte_to_result_all
9,37,127,fuerte_to_result_all
9,82,127,fuerte_to_result_all
7,2,126,fuerte_to_result_all
53,90,126,fuerte_to_result_all
53,8,126,fuerte_to_result_all
42,41,126,fuerte_to_result_all
42,57,126,fuerte_to_result_all
70,8,126,fuerte_to_result_all
70,49,126,fuerte_to_result_all
70,47,126,fuerte_to_result_all
29,82,126,fuerte_to_result_all
44,37,126,fuerte_to_result_all
44,9,126,fuerte_to_result_all
42,97,126,fuerte_to_result_all
9,42,126,fuerte_to_result_all
9,60,126,fuerte_to_result_all
9,45,126,fuerte_to_result_all
9,52,126,fuerte_to_result_all
22,86,126,fuerte_to_result_all
7,98,125,fuerte_to_result_all
42,87,125,fuerte_to_result_all
42,7,125,fuerte_to_result_all
42,55,125,fuerte_to_result_all
