fuerte,times_produced_-1,number_at_-1
42,64,10
44,59,28
53,57,26
63,56,52
70,55,59
90,53,74
29,53,13
71,39,66
28,32,12
87,29,82
92,29,81
26,28,21
56,28,51
23,28,18
41,26,30
89,25,73
76,25,49
68,24,36
57,23,25
72,22,67
91,22,75
94,22,78
59,21,22
93,19,29
83,19,40
79,19,68
48,19,32
11,17,6
46,17,41
19,15,8
30,15,14
82,14,39
86,13,54
85,13,64
52,13,47
10,13,5
81,13,60
50,11,23
80,11,69
88,11,24
54,11,43
84,11,79
100,10,63
67,10,56
58,10,37
75,9,70
14,9,9
97,9,65
60,7,44
31,7,20
74,7,58
62,6,46
51,6,19
40,5,35
17,5,1
39,4,2
