number,times_fuerte,exact_hits,exact_rate_pct,misses,miss_companion,miss_neighbor,miss_indirect,miss_none
42,85,69,81.18,16,14,2,0,0
9,81,61,75.31,20,20,0,0,0
44,81,56,69.14,25,25,0,0,0
7,79,60,75.95,19,19,0,0,0
29,79,58,73.42,21,19,2,0,0
70,76,57,75.0,19,19,0,0,0
22,75,48,64.0,27,27,0,0,0
63,75,56,74.67,19,19,0,0,0
53,72,49,68.06,23,22,1,0,0
35,66,52,78.79,14,14,0,0,0
90,65,49,75.38,16,16,0,0,0
71,43,35,81.4,8,8,0,0,0
28,41,35,85.37,6,6,0,0,0
77,41,28,68.29,13,0,13,0,0
56,38,26,68.42,12,12,0,0,0
87,38,34,89.47,4,4,0,0,0
23,37,28,75.68,9,9,0,0,0
27,36,27,75.0,9,7,2,0,0
73,35,26,74.29,9,7,2,0,0
89,33,24,72.73,9,6,3,0,0
69,32,23,71.88,9,5,4,0,0
92,32,29,90.62,3,3,0,0,0
94,32,25,78.12,7,7,0,0,0
26,31,22,70.97,9,9,0,0,0
41,31,24,77.42,7,7,0,0,0
68,31,18,58.06,13,13,0,0,0
72,30,23,76.67,7,7,0,0,0
57,29,25,86.21,4,4,0,0,0
76,29,25,86.21,4,4,0,0,0
59,28,22,78.57,6,6,0,0,0
34,27,23,85.19,4,3,1,0,0
91,27,21,77.78,6,6,0,0,0
12,24,18,75.0,6,6,0,0,0
65,24,19,79.17,5,3,2,0,0
79,24,19,79.17,5,5,0,0,0
48,23,18,78.26,5,5,0,0,0
83,23,17,73.91,6,6,0,0,0
3,22,13,59.09,9,9,0,0,0
93,22,19,86.36,3,2,1,0,0
30,21,14,66.67,7,7,0,0,0
11,20,19,95.0,1,1,0,0,0
82,20,18,90.0,2,2,0,0,0
85,20,16,80.0,4,4,0,0,0
19,19,15,78.95,4,4,0,0,0
46,19,11,57.89,8,8,0,0,0
52,18,13,72.22,5,5,0,0,0
10,16,11,68.75,5,5,0,0,0
20,16,13,81.25,3,3,0,0,0
58,16,13,81.25,3,3,0,0,0
67,16,11,68.75,5,5,0,0,0
84,16,12,75.0,4,4,0,0,0
54,15,11,73.33,4,4,0,0,0
81,15,15,100.0,0,0,0,0,0
86,14,12,85.71,2,2,0,0,0
100,14,0,0.0,14,14,0,0,0
1,13,9,69.23,4,4,0,0,0
74,13,10,76.92,3,3,0,0,0
80,13,11,84.62,2,1,1,0,0
88,12,8,66.67,4,4,0,0,0
14,11,10,90.91,1,1,0,0,0
32,11,6,54.55,5,5,0,0,0
50,11,8,72.73,3,3,0,0,0
97,11,9,81.82,2,1,1,0,0
8,10,8,80.0,2,2,0,0,0
31,10,8,80.0,2,2,0,0,0
37,10,8,80.0,2,2,0,0,0
75,10,6,60.0,4,4,0,0,0
13,9,6,66.67,3,3,0,0,0
25,9,9,100.0,0,0,0,0,0
51,9,7,77.78,2,2,0,0,0
60,9,7,77.78,2,2,0,0,0
45,8,3,37.5,5,0,4,1,0
6,7,4,57.14,3,3,0,0,0
16,7,4,57.14,3,0,2,1,0
21,7,7,100.0,0,0,0,0,0
62,7,6,85.71,1,1,0,0,0
5,6,4,66.67,2,2,0,0,0
15,6,5,83.33,1,0,1,0,0
40,6,5,83.33,1,1,0,0,0
96,6,5,83.33,1,0,0,0,1
2,5,3,60.0,2,2,0,0,0
4,5,4,80.0,1,1,0,0,0
17,5,4,80.0,1,1,0,0,0
39,4,1,25.0,3,3,0,0,0
