date,fuerte,generator,n_confirmers,fuerte_hit,first_day_offset,outcome_bucket,closest_distance,closest_number
2019-07-24,7,42,2,True,2,FUERTE_EXACTO,0,7
2019-07-24,50,42,1,True,5,FUERTE_EXACTO,0,50
2019-07-27,11,35,1,True,1,FUERTE_EXACTO,0,11
2019-07-27,86,35,1,False,,COMPANERO_TABLA1,1,11
2019-07-27,90,46,1,True,5,FUERTE_EXACTO,0,90
2019-07-29,5,37,1,False,,COMPANERO_TABLA1,1,10
2019-07-29,10,37,1,True,2,FUERTE_EXACTO,0,10
2019-07-30,93,41,1,True,6,FUERTE_EXACTO,0,93
2019-08-01,23,42,1,True,2,FUERTE_EXACTO,0,23
2019-08-01,71,42,1,True,1,FUERTE_EXACTO,0,71
2019-08-02,26,28,1,False,,COMPANERO_TABLA1,1,21
2019-08-02,100,38,1,False,,COMPANERO_TABLA1,1,63
2019-08-04,12,43,1,True,1,FUERTE_EXACTO,0,12
2019-08-04,60,43,1,True,1,FUERTE_EXACTO,0,60
2019-08-06,72,40,2,True,1,FUERTE_EXACTO,0,72
2019-08-06,56,40,1,False,,COMPANERO_TABLA1,1,72
2019-08-07,53,28,1,True,4,FUERTE_EXACTO,0,53
2019-08-09,96,54,1,True,1,FUERTE_EXACTO,0,96
2019-08-10,23,42,1,False,,COMPANERO_TABLA1,1,18
2019-08-10,77,32,1,True,5,FUERTE_EXACTO,0,77
2019-08-11,29,41,1,True,1,FUERTE_EXACTO,0,29
2019-08-11,42,37,1,True,2,FUERTE_EXACTO,0,42
2019-08-11,89,48,1,True,1,FUERTE_EXACTO,0,89
2019-08-11,93,41,1,True,1,FUERTE_EXACTO,0,93
2019-08-12,85,36,1,True,2,FUERTE_EXACTO,0,85
2019-08-13,68,47,1,False,,COMPANERO_TABLA1,1,84
2019-08-13,84,47,1,True,1,FUERTE_EXACTO,0,84
2019-08-14,52,38,1,True,3,FUERTE_EXACTO,0,52
2019-08-15,87,33,1,True,6,FUERTE_EXACTO,0,87
2019-08-17,71,42,1,True,1,FUERTE_EXACTO,0,71
2019-08-18,22,44,1,True,2,FUERTE_EXACTO,0,22
2019-08-18,70,44,1,False,,COMPANERO_TABLA1,1,91
2019-08-20,29,41,1,False,,COMPANERO_TABLA1,1,93
2019-08-20,69,45,1,False,,COMPANERO_TABLA1,1,80
2019-08-21,80,45,1,True,4,FUERTE_EXACTO,0,80
2019-08-23,90,46,1,False,,COMPANERO_TABLA1,1,74
2019-08-26,50,42,1,True,3,FUERTE_EXACTO,0,50
2019-08-27,44,43,2,True,4,FUERTE_EXACTO,0,44
2019-08-27,28,43,1,True,5,FUERTE_EXACTO,0,28
2019-08-28,10,37,1,True,1,FUERTE_EXACTO,0,10
2019-08-28,42,37,1,True,4,FUERTE_EXACTO,0,42
2019-09-02,83,49,1,False,,COMPANERO_TABLA1,1,35
2019-09-03,40,49,1,True,5,FUERTE_EXACTO,0,40
2019-09-03,68,47,1,False,,COMPANERO_TABLA1,1,4
2019-09-04,65,52,1,False,,COMPANERO_TABLA1,1,97
2019-09-07,34,51,1,True,3,FUERTE_EXACTO,0,34
2019-09-07,91,44,1,True,1,FUERTE_EXACTO,0,91
2019-09-08,11,35,1,True,2,FUERTE_EXACTO,0,11
2019-09-08,53,28,1,True,2,FUERTE_EXACTO,0,53
2019-09-11,42,37,1,True,1,FUERTE_EXACTO,0,42
2019-09-11,65,52,1,True,7,FUERTE_EXACTO,0,65
2019-09-11,76,34,1,True,3,FUERTE_EXACTO,0,76
2019-09-12,44,43,1,False,,COMPANERO_TABLA1,1,60
2019-09-12,76,34,1,True,2,FUERTE_EXACTO,0,76
2019-09-12,92,43,1,False,,COMPANERO_TABLA1,1,60
2019-09-14,16,27,1,True,5,FUERTE_EXACTO,0,16
2019-09-15,56,40,1,True,3,FUERTE_EXACTO,0,56
2019-09-16,60,43,1,True,4,FUERTE_EXACTO,0,60
2019-09-19,9,39,1,True,3,FUERTE_EXACTO,0,9
2019-09-19,25,30,1,True,3,FUERTE_EXACTO,0,25
2019-09-20,7,42,1,True,6,FUERTE_EXACTO,0,7
2019-09-20,11,35,1,True,5,FUERTE_EXACTO,0,11
2019-09-20,86,35,1,True,1,FUERTE_EXACTO,0,86
2019-09-21,87,33,2,True,4,FUERTE_EXACTO,0,87
2019-09-22,57,30,1,True,5,FUERTE_EXACTO,0,57
2019-09-23,76,34,1,True,2,FUERTE_EXACTO,0,76
2019-09-23,87,33,1,True,2,FUERTE_EXACTO,0,87
2019-09-25,69,45,1,True,2,FUERTE_EXACTO,0,69
2019-09-25,80,45,1,True,2,FUERTE_EXACTO,0,80
2019-09-26,26,28,1,True,3,FUERTE_EXACTO,0,26
2019-09-28,69,45,2,True,4,FUERTE_EXACTO,0,69
2019-09-29,27,26,1,True,3,FUERTE_EXACTO,0,27
2019-09-30,56,40,1,True,2,FUERTE_EXACTO,0,56
2019-10-02,87,33,1,True,1,FUERTE_EXACTO,0,87
2019-10-03,12,43,1,False,,COMPANERO_TABLA1,1,44
2019-10-03,56,40,1,True,4,FUERTE_EXACTO,0,56
2019-10-03,72,40,1,False,,COMPANERO_TABLA1,1,19
2019-10-05,63,38,2,False,,COMPANERO_TABLA1,1,31
2019-10-06,35,49,1,True,5,FUERTE_EXACTO,0,35
2019-10-08,12,43,1,True,4,FUERTE_EXACTO,0,12
2019-10-08,17,34,1,True,2,FUERTE_EXACTO,0,17
2019-10-09,57,30,1,True,7,FUERTE_EXACTO,0,57
2019-10-14,3,31,1,True,7,FUERTE_EXACTO,0,3
2019-10-15,7,42,1,True,4,FUERTE_EXACTO,0,7
2019-10-19,91,44,1,True,2,FUERTE_EXACTO,0,91
2019-10-21,45,50,1,False,,VECINO_TABLA2,3,32
2019-10-22,89,48,1,True,1,FUERTE_EXACTO,0,89
2019-10-23,3,31,1,True,3,FUERTE_EXACTO,0,3
2019-10-24,3,31,1,True,2,FUERTE_EXACTO,0,3
2019-10-25,27,26,1,True,1,FUERTE_EXACTO,0,27
2019-10-25,29,41,1,True,4,FUERTE_EXACTO,0,29
2019-10-26,63,38,2,True,6,FUERTE_EXACTO,0,63
2019-10-29,34,51,1,True,7,FUERTE_EXACTO,0,34
2019-10-31,28,43,1,False,,COMPANERO_TABLA1,1,44
2019-10-31,44,43,1,True,2,FUERTE_EXACTO,0,44
2019-11-02,7,42,1,False,,COMPANERO_TABLA1,1,18
2019-11-03,3,31,1,False,,COMPANERO_TABLA1,1,99
2019-11-03,29,41,1,True,3,FUERTE_EXACTO,0,29
2019-11-03,88,31,1,True,6,FUERTE_EXACTO,0,88
2019-11-09,29,41,1,True,2,FUERTE_EXACTO,0,29
2019-11-09,56,40,1,False,,COMPANERO_TABLA1,1,67
2019-11-09,67,40,1,True,1,FUERTE_EXACTO,0,67
