number,table1_code,table2_code,times_observed,times_strengthened,w3_hits_when_strengthened,hit_rate_w3,lift_vs_base_freq,security_level
1,34,5,95,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
2,33,7,113,3,0,0.0,0.0,D_SIN_VENTAJA
3,31,65,114,12,0,0.0,0.0,D_SIN_VENTAJA
4,47,8,101,1,0,0.0,0.0,D_SIN_VENTAJA
5,37,10,109,3,0,0.0,0.0,D_SIN_VENTAJA
6,35,32,99,6,2,0.333333,1.7924,C_PROMETEDOR_NO_CONCLUYENTE
7,42,55,99,48,12,0.25,1.3443,C_PROMETEDOR_NO_CONCLUYENTE
8,40,13,113,3,0,0.0,0.0,D_SIN_VENTAJA
9,39,55,108,51,17,0.333333,1.7924,C_PROMETEDOR_NO_CONCLUYENTE
10,37,5,103,10,2,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
11,35,47,91,12,2,0.166667,0.8962,D_SIN_VENTAJA
12,43,57,93,10,3,0.3,1.6132,C_PROMETEDOR_NO_CONCLUYENTE
13,41,59,98,5,2,0.4,2.1509,C_PROMETEDOR_NO_CONCLUYENTE
14,39,58,112,8,3,0.375,2.0165,C_PROMETEDOR_NO_CONCLUYENTE
15,29,39,91,5,2,0.4,2.1509,C_PROMETEDOR_NO_CONCLUYENTE
16,27,20,116,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
17,34,59,109,2,1,0.5,2.6886,D_SIN_VENTAJA
18,42,84,84,0,0,,,D_SIN_VENTAJA
19,40,43,102,15,4,0.266667,1.4339,C_PROMETEDOR_NO_CONCLUYENTE
20,38,7,81,9,4,0.444444,2.3899,C_PROMETEDOR_NO_CONCLUYENTE
21,28,56,112,4,0,0.0,0.0,D_SIN_VENTAJA
22,44,55,89,55,8,0.145455,0.7821,E_RECHAZADO
23,42,51,95,25,2,0.08,0.4302,E_RECHAZADO
24,31,40,108,0,0,,,D_SIN_VENTAJA
25,30,20,85,7,0,0.0,0.0,D_SIN_VENTAJA
26,28,52,105,18,1,0.055556,0.2987,E_RECHAZADO
27,26,53,105,19,1,0.052632,0.283,E_RECHAZADO
28,43,51,92,22,3,0.136364,0.7333,E_RECHAZADO
29,41,55,88,45,8,0.177778,0.9559,E_RECHAZADO
30,39,65,101,14,3,0.214286,1.1523,C_PROMETEDOR_NO_CONCLUYENTE
31,38,66,117,7,0,0.0,0.0,D_SIN_VENTAJA
32,36,19,113,5,0,0.0,0.0,D_SIN_VENTAJA
33,34,85,108,0,0,,,D_SIN_VENTAJA
34,51,52,87,15,1,0.066667,0.3585,E_RECHAZADO
35,49,55,102,37,7,0.189189,1.0173,D_SIN_VENTAJA
36,47,87,95,0,0,,,D_SIN_VENTAJA
37,46,60,114,7,0,0.0,0.0,D_SIN_VENTAJA
38,26,44,101,0,0,,,D_SIN_VENTAJA
39,33,35,109,3,0,0.0,0.0,D_SIN_VENTAJA
40,49,8,114,2,1,0.5,2.6886,D_SIN_VENTAJA
41,39,57,110,16,1,0.0625,0.3361,E_RECHAZADO
42,37,55,109,54,10,0.185185,0.9958,E_RECHAZADO
43,35,42,95,0,0,,,D_SIN_VENTAJA
44,43,55,106,44,10,0.227273,1.2221,C_PROMETEDOR_NO_CONCLUYENTE
45,50,19,110,6,1,0.166667,0.8962,D_SIN_VENTAJA
46,39,43,80,13,2,0.153846,0.8273,D_SIN_VENTAJA
47,38,63,96,0,0,,,D_SIN_VENTAJA
48,36,61,98,14,1,0.071429,0.3841,D_SIN_VENTAJA
49,34,72,92,0,0,,,D_SIN_VENTAJA
50,42,10,85,4,0,0.0,0.0,D_SIN_VENTAJA
51,40,56,109,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
52,38,48,109,9,1,0.111111,0.5975,D_SIN_VENTAJA
53,28,55,109,42,3,0.071429,0.3841,E_RECHAZADO
54,35,58,117,11,2,0.181818,0.9777,D_SIN_VENTAJA
55,42,49,99,0,0,,,D_SIN_VENTAJA
56,40,57,86,25,3,0.12,0.6453,E_RECHAZADO
57,30,47,106,18,3,0.166667,0.8962,E_RECHAZADO
58,46,50,114,8,2,0.25,1.3443,C_PROMETEDOR_NO_CONCLUYENTE
59,44,52,88,22,2,0.090909,0.4888,E_RECHAZADO
60,43,32,95,3,0,0.0,0.0,D_SIN_VENTAJA
61,5,2,92,0,0,,,D_SIN_VENTAJA
62,39,64,114,4,0,0.0,0.0,D_SIN_VENTAJA
63,38,55,116,51,7,0.137255,0.738,E_RECHAZADO
64,36,23,107,0,0,,,D_SIN_VENTAJA
65,52,60,108,17,3,0.176471,0.9489,E_RECHAZADO
66,42,69,97,0,0,,,D_SIN_VENTAJA
67,40,54,92,9,1,0.111111,0.5975,D_SIN_VENTAJA
68,47,53,102,16,4,0.25,1.3443,C_PROMETEDOR_NO_CONCLUYENTE
69,45,47,98,15,2,0.133333,0.717,E_RECHAZADO
70,44,55,89,51,14,0.27451,1.4761,C_PROMETEDOR_NO_CONCLUYENTE
71,42,57,91,25,7,0.28,1.5056,C_PROMETEDOR_NO_CONCLUYENTE
72,40,52,98,19,4,0.210526,1.132,C_PROMETEDOR_NO_CONCLUYENTE
73,48,51,104,17,5,0.294118,1.5815,C_PROMETEDOR_NO_CONCLUYENTE
74,46,66,77,9,1,0.111111,0.5975,D_SIN_VENTAJA
75,44,64,113,6,1,0.166667,0.8962,D_SIN_VENTAJA
76,34,53,107,12,2,0.166667,0.8962,D_SIN_VENTAJA
77,32,51,79,27,4,0.148148,0.7966,E_RECHAZADO
78,39,35,87,0,0,,,D_SIN_VENTAJA
79,47,54,96,15,5,0.333333,1.7924,C_PROMETEDOR_NO_CONCLUYENTE
80,45,13,89,9,2,0.222222,1.1949,C_PROMETEDOR_NO_CONCLUYENTE
81,43,48,106,8,1,0.125,0.6722,D_SIN_VENTAJA
82,33,60,100,13,5,0.384615,2.0682,C_PROMETEDOR_NO_CONCLUYENTE
83,49,65,101,19,5,0.263158,1.4151,C_PROMETEDOR_NO_CONCLUYENTE
84,47,50,102,10,3,0.3,1.6132,C_PROMETEDOR_NO_CONCLUYENTE
85,36,48,95,12,2,0.166667,0.8962,D_SIN_VENTAJA
86,35,43,93,8,2,0.25,1.3443,C_PROMETEDOR_NO_CONCLUYENTE
87,33,51,93,28,5,0.178571,0.9602,E_RECHAZADO
88,31,54,111,8,0,0.0,0.0,D_SIN_VENTAJA
89,48,57,93,16,3,0.1875,1.0082,D_SIN_VENTAJA
90,46,55,114,35,7,0.2,1.0754,D_SIN_VENTAJA
91,44,47,108,15,4,0.266667,1.4339,C_PROMETEDOR_NO_CONCLUYENTE
92,43,53,99,20,6,0.3,1.6132,C_PROMETEDOR_NO_CONCLUYENTE
93,41,61,106,9,2,0.222222,1.1949,C_PROMETEDOR_NO_CONCLUYENTE
94,39,50,100,23,8,0.347826,1.8703,C_PROMETEDOR_NO_CONCLUYENTE
95,56,36,102,0,0,,,D_SIN_VENTAJA
96,54,39,110,3,0,0.0,0.0,D_SIN_VENTAJA
97,52,61,121,9,1,0.111111,0.5975,D_SIN_VENTAJA
98,51,67,90,0,0,,,D_SIN_VENTAJA
99,31,28,94,0,0,,,D_SIN_VENTAJA
100,38,5,0,10,0,0.0,0.0,D_SIN_VENTAJA
