relation,generator,candidate,n_confirmers,activations,w3_hits,hit_rate_w3,lift_vs_base_freq_random_one,security_level
49->35<-42,49,35,1,7,0,0.0,0.0,D_SIN_VENTAJA
"39->9<-29,42",39,9,2,1,0,0.0,0.0,D_SIN_VENTAJA
"28->53<-29,42",28,53,2,2,0,0.0,0.0,D_SIN_VENTAJA
42->7<-29,42,7,1,6,2,0.333333,1.7924,C_PROMETEDOR_NO_CONCLUYENTE
42->23<-28,42,23,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
42->50<-5,42,50,1,4,0,0.0,0.0,D_SIN_VENTAJA
"41->29<-7,90",41,29,2,1,0,0.0,0.0,D_SIN_VENTAJA
37->42<-35,37,42,1,3,1,0.333333,1.7924,D_SIN_VENTAJA
52->65<-37,52,65,1,8,2,0.25,1.3443,C_PROMETEDOR_NO_CONCLUYENTE
39->41<-56,39,41,1,5,0,0.0,0.0,D_SIN_VENTAJA
39->14<-54,39,14,1,8,3,0.375,2.0165,C_PROMETEDOR_NO_CONCLUYENTE
36->85<-81,36,85,1,6,1,0.166667,0.8962,D_SIN_VENTAJA
40->56<-12,40,56,1,7,2,0.285714,1.5363,C_PROMETEDOR_NO_CONCLUYENTE
36->48<-97,36,48,1,8,0,0.0,0.0,D_SIN_VENTAJA
30->57<-91,30,57,1,5,0,0.0,0.0,D_SIN_VENTAJA
42->7<-63,42,7,1,7,0,0.0,0.0,D_SIN_VENTAJA
47->79<-88,47,79,1,4,0,0.0,0.0,D_SIN_VENTAJA
41->29<-44,41,29,1,2,0,0.0,0.0,D_SIN_VENTAJA
"37->42<-22,63",37,42,2,1,0,0.0,0.0,D_SIN_VENTAJA
37->5<-50,37,5,1,3,0,0.0,0.0,D_SIN_VENTAJA
44->22<-90,44,22,1,7,3,0.428571,2.3045,C_PROMETEDOR_NO_CONCLUYENTE
44->70<-90,44,70,1,6,4,0.666667,3.5848,C_PROMETEDOR_NO_CONCLUYENTE
"41->29<-7,42",41,29,2,1,0,0.0,0.0,D_SIN_VENTAJA
42->71<-41,42,71,1,6,2,0.333333,1.7924,C_PROMETEDOR_NO_CONCLUYENTE
48->89<-41,48,89,1,3,0,0.0,0.0,D_SIN_VENTAJA
41->93<-48,41,93,1,4,1,0.25,1.3443,D_SIN_VENTAJA
39->9<-44,39,9,1,7,4,0.571429,3.0727,C_PROMETEDOR_NO_CONCLUYENTE
30->25<-16,30,25,1,7,0,0.0,0.0,D_SIN_VENTAJA
37->42<-44,37,42,1,8,2,0.25,1.3443,C_PROMETEDOR_NO_CONCLUYENTE
42->23<-73,42,23,1,6,1,0.166667,0.8962,D_SIN_VENTAJA
"49->35<-44,63",49,35,2,1,0,0.0,0.0,D_SIN_VENTAJA
44->22<-63,44,22,1,4,1,0.25,1.3443,D_SIN_VENTAJA
44->70<-63,44,70,1,5,0,0.0,0.0,D_SIN_VENTAJA
28->53<-42,28,53,1,3,1,0.333333,1.7924,D_SIN_VENTAJA
39->94<-84,39,94,1,14,5,0.357143,1.9204,C_PROMETEDOR_NO_CONCLUYENTE
51->34<-72,51,34,1,6,1,0.166667,0.8962,D_SIN_VENTAJA
38->52<-85,38,52,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
38->63<-7,38,63,1,6,0,0.0,0.0,D_SIN_VENTAJA
33->39<-78,33,39,1,3,0,0.0,0.0,D_SIN_VENTAJA
40->67<-88,40,67,1,6,0,0.0,0.0,D_SIN_VENTAJA
48->89<-56,48,89,1,1,0,0.0,0.0,D_SIN_VENTAJA
43->12<-71,43,12,1,3,1,0.333333,1.7924,D_SIN_VENTAJA
43->28<-73,43,28,1,7,1,0.142857,0.7682,D_SIN_VENTAJA
43->92<-27,43,92,1,7,1,0.142857,0.7682,D_SIN_VENTAJA
43->92<-68,43,92,1,9,4,0.444444,2.3899,C_PROMETEDOR_NO_CONCLUYENTE
"28->53<-35,63",28,53,2,1,0,0.0,0.0,D_SIN_VENTAJA
26->27<-76,26,27,1,9,0,0.0,0.0,D_SIN_VENTAJA
39->9<-29,39,9,1,1,0,0.0,0.0,D_SIN_VENTAJA
39->9<-42,39,9,1,3,1,0.333333,1.7924,D_SIN_VENTAJA
42->71<-56,42,71,1,8,3,0.375,2.0165,C_PROMETEDOR_NO_CONCLUYENTE
"38->63<-9,70",38,63,2,2,0,0.0,0.0,D_SIN_VENTAJA
38->100<-10,38,100,1,5,0,0.0,0.0,D_SIN_VENTAJA
33->82<-37,33,82,1,6,2,0.333333,1.7924,C_PROMETEDOR_NO_CONCLUYENTE
33->87<-77,33,87,1,4,1,0.25,1.3443,D_SIN_VENTAJA
52->97<-93,52,97,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
43->28<-77,43,28,1,3,1,0.333333,1.7924,D_SIN_VENTAJA
43->44<-63,43,44,1,1,0,0.0,0.0,D_SIN_VENTAJA
37->42<-9,37,42,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
43->44<-29,43,44,1,6,2,0.333333,1.7924,C_PROMETEDOR_NO_CONCLUYENTE
45->69<-11,45,69,1,4,1,0.25,1.3443,D_SIN_VENTAJA
"48->89<-56,71",48,89,2,1,0,0.0,0.0,D_SIN_VENTAJA
46->90<-42,46,90,1,6,1,0.166667,0.8962,D_SIN_VENTAJA
40->51<-21,40,51,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
38->63<-44,38,63,1,2,0,0.0,0.0,D_SIN_VENTAJA
44->75<-62,44,75,1,6,1,0.166667,0.8962,D_SIN_VENTAJA
45->80<-8,45,80,1,9,2,0.222222,1.1949,C_PROMETEDOR_NO_CONCLUYENTE
47->84<-94,47,84,1,7,3,0.428571,2.3045,C_PROMETEDOR_NO_CONCLUYENTE
43->44<-9,43,44,1,9,2,0.222222,1.1949,C_PROMETEDOR_NO_CONCLUYENTE
38->20<-2,38,20,1,9,4,0.444444,2.3899,C_PROMETEDOR_NO_CONCLUYENTE
38->63<-22,38,63,1,5,0,0.0,0.0,D_SIN_VENTAJA
41->29<-22,41,29,1,3,0,0.0,0.0,D_SIN_VENTAJA
47->79<-67,47,79,1,11,5,0.454545,2.4442,C_PROMETEDOR_NO_CONCLUYENTE
48->89<-71,48,89,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
50->45<-32,50,45,1,6,1,0.166667,0.8962,D_SIN_VENTAJA
"48->73<-77,87",48,73,2,1,0,0.0,0.0,D_SIN_VENTAJA
49->35<-7,49,35,1,4,0,0.0,0.0,D_SIN_VENTAJA
43->44<-7,43,44,1,4,0,0.0,0.0,D_SIN_VENTAJA
28->53<-7,28,53,1,3,0,0.0,0.0,D_SIN_VENTAJA
39->9<-70,39,9,1,4,2,0.5,2.6886,D_SIN_VENTAJA
44->22<-9,44,22,1,7,0,0.0,0.0,D_SIN_VENTAJA
44->70<-9,44,70,1,6,2,0.333333,1.7924,C_PROMETEDOR_NO_CONCLUYENTE
"46->90<-29,53",46,90,2,1,0,0.0,0.0,D_SIN_VENTAJA
31->3<-30,31,3,1,8,0,0.0,0.0,D_SIN_VENTAJA
49->83<-30,49,83,1,10,1,0.1,0.5377,D_SIN_VENTAJA
38->63<-9,38,63,1,4,1,0.25,1.3443,D_SIN_VENTAJA
31->3<-83,31,3,1,4,0,0.0,0.0,D_SIN_VENTAJA
42->7<-70,42,7,1,4,1,0.25,1.3443,D_SIN_VENTAJA
36->32<-45,36,32,1,5,0,0.0,0.0,D_SIN_VENTAJA
30->57<-69,30,57,1,8,1,0.125,0.6722,D_SIN_VENTAJA
40->8<-80,40,8,1,3,0,0.0,0.0,D_SIN_VENTAJA
49->35<-9,49,35,1,3,0,0.0,0.0,D_SIN_VENTAJA
"46->90<-7,29,70",46,90,3,1,0,0.0,0.0,D_SIN_VENTAJA
"42->7<-22,44",42,7,2,1,0,0.0,0.0,D_SIN_VENTAJA
"44->70<-22,42",44,70,2,1,1,1.0,5.3772,D_SIN_VENTAJA
44->22<-42,44,22,1,6,1,0.166667,0.8962,D_SIN_VENTAJA
42->7<-53,42,7,1,8,3,0.375,2.0165,C_PROMETEDOR_NO_CONCLUYENTE
42->23<-77,42,23,1,8,0,0.0,0.0,D_SIN_VENTAJA
32->77<-28,32,77,1,10,2,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
37->10<-1,37,10,1,10,2,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
37->42<-7,37,42,1,3,2,0.666667,3.5848,D_SIN_VENTAJA
32->77<-23,32,77,1,9,1,0.111111,0.5975,D_SIN_VENTAJA
"37->42<-22,70",37,42,2,2,0,0.0,0.0,D_SIN_VENTAJA
29->15<-96,29,15,1,5,2,0.4,2.1509,C_PROMETEDOR_NO_CONCLUYENTE
44->59<-34,44,59,1,7,0,0.0,0.0,D_SIN_VENTAJA
