id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_justech_do_ncf_range_user,justech.do.ncf.range user,model_justech_do_ncf_range,justech_l10n_do_base.group_justech_do_fiscal_user,1,0,0,0
access_justech_do_ncf_range_manager,justech.do.ncf.range manager,model_justech_do_ncf_range,justech_l10n_do_base.group_justech_do_fiscal_manager,1,1,1,1
access_justech_do_ncf_consumption_user,justech.do.ncf.consumption user,model_justech_do_ncf_consumption,justech_l10n_do_base.group_justech_do_fiscal_user,1,0,0,0
access_justech_do_ncf_consumption_manager,justech.do.ncf.consumption manager,model_justech_do_ncf_consumption,justech_l10n_do_base.group_justech_do_fiscal_manager,1,1,1,0
access_justech_do_ncf_admin_center_manager,justech.do.ncf.admin.center manager,model_justech_do_ncf_admin_center,justech_l10n_do_base.group_justech_do_fiscal_manager,1,1,1,1
access_justech_do_fiscal_diagnostic_wizard_manager,justech.do.fiscal.diagnostic.wizard manager,model_justech_do_fiscal_diagnostic_wizard,justech_l10n_do_base.group_justech_do_fiscal_manager,1,1,1,1
access_justech_do_fiscal_diagnostic_line_manager,justech.do.fiscal.diagnostic.line manager,model_justech_do_fiscal_diagnostic_line,justech_l10n_do_base.group_justech_do_fiscal_manager,1,1,1,1
access_justech_do_ncf_migration_wizard_manager,justech.do.ncf.migration.wizard manager,model_justech_do_ncf_migration_wizard,justech_l10n_do_base.group_justech_do_fiscal_manager,1,1,1,1
access_justech_do_ncf_migration_wizard_system,justech.do.ncf.migration.wizard system,model_justech_do_ncf_migration_wizard,base.group_system,1,1,1,1
access_justech_do_ncf_migration_line_manager,justech.do.ncf.migration.line manager,model_justech_do_ncf_migration_line,justech_l10n_do_base.group_justech_do_fiscal_manager,1,1,1,1
access_justech_do_ncf_migration_line_system,justech.do.ncf.migration.line system,model_justech_do_ncf_migration_line,base.group_system,1,1,1,1
access_justech_do_ncf_reconcile_wizard_manager,justech.do.ncf.reconcile.wizard manager,model_justech_do_ncf_reconcile_wizard,justech_l10n_do_base.group_justech_do_fiscal_manager,1,1,1,1
access_justech_do_ncf_reconcile_wizard_system,justech.do.ncf.reconcile.wizard system,model_justech_do_ncf_reconcile_wizard,base.group_system,1,1,1,1
access_justech_do_ncf_reconcile_line_manager,justech.do.ncf.reconcile.line manager,model_justech_do_ncf_reconcile_line,justech_l10n_do_base.group_justech_do_fiscal_manager,1,1,1,1
access_justech_do_ncf_reconcile_line_system,justech.do.ncf.reconcile.line system,model_justech_do_ncf_reconcile_line,base.group_system,1,1,1,1
access_justech_do_ncf_migration_log_manager,justech.do.ncf.migration.log manager,model_justech_do_ncf_migration_log,justech_l10n_do_base.group_justech_do_fiscal_manager,1,0,0,0
access_justech_do_ncf_migration_log_system,justech.do.ncf.migration.log system,model_justech_do_ncf_migration_log,base.group_system,1,1,1,1
