id,name,active,trigger,filter_domain
10,"{""en_US"": ""Cambiar a En progreso cuando técnico responde"", ""es_DO"": ""Cambiar a En progreso cuando técnico responde""}",t,on_message_sent,
8,"{""en_US"": ""Cotizacion"", ""es_DO"": ""Cotizacion""}",t,on_create,"[(""description"", ""ilike"", ""Nombre contiene mantenimiento OR Descripción contiene mantenimiento OR Nombre contiene revisión OR Descripción contiene revisión OR Nombre contiene limpiar OR Descripción contiene limpiar OR Nombre contiene limpieza OR Descripción contiene limpieza OR Nombre contiene preventivo OR Descripción contiene preventivo OR Nombre contiene chequeo OR Descripción contiene chequeo OR Nombre contiene diagnóstico OR Descripción contiene diagnóstico"")]"
2,"{""en_US"": ""Cliente respondió ticket"", ""es_DO"": ""Cliente respondió ticket""}",t,on_message_received,
3,"{""en_US"": ""Enviar confirmación automática de ticket"", ""es_DO"": ""Enviar confirmación automática de ticket""}",t,on_create,
9,"{""en_US"": ""Crear lead desde ticket de cotización"", ""es_DO"": ""Crear lead desde ticket de cotización""}",t,on_create,"[(""description"", ""ilike"", ""Nombre contiene cotización OR Descripción contiene cotización OR Nombre contiene cotizar OR Descripción contiene cotizar OR Nombre contiene compra OR Descripción contiene compra OR Nombre contiene comprar OR Descripción contiene comprar OR Nombre contiene precio OR Descripción contiene precio"")]"
4,"{""en_US"": ""Clasificar ticket - Red"", ""es_DO"": ""Clasificar ticket - Red""}",t,on_create,"[""|"", (""description"", ""ilike"", ""Descripción contiene internet OR Descripción contiene wifi OR Descripción contiene switch""), (""description"", ""ilike"", ""Descripción contiene internet OR Descripción contiene wifi OR Descripción contiene switch OR Descripción contiene red OR Descripción contiene router OR Descripción contiene firewall OR Descripción contiene vpn"")]"
5,"{""en_US"": ""Clasificar ticket - Equipos"", ""es_DO"": ""Clasificar ticket - Equipos""}",t,on_create,"[(""description"", ""ilike"", ""Descripción contiene impresora OR Descripción contiene laptop OR Descripción contiene computadora OR Descripción contiene pc OR Descripción contiene monitor OR Descripción contiene teclado OR Descripción contiene mouse OR Descripción contiene escaner"")]"
6,"{""en_US"": ""Clasificar ticket - Instalación"", ""es_DO"": ""Clasificar ticket - Instalación""}",t,on_create,"[(""description"", ""ilike"", ""Descripción contiene instalar OR Descripción contiene instalación OR Descripción contiene montar OR Descripción contiene desmontar OR Descripción contiene desinstalar OR Descripción contiene retirar OR Descripción contiene remover OR Descripción contiene mover OR Descripción contiene reubicar OR Descripción contiene traslado OR Descripción contiene cableado OR Descripción contiene rack OR Descripción contiene puntos de red OR Descripción contiene ponchar OR Descripción contiene patch panel OR Descripción contiene colocar OR Descripción contiene agregar punto OR Descripción contiene punto de red OR Descripción contiene instalación de equipo"")]"
7,"{""en_US"": ""Mantenimiento"", ""es_DO"": ""Mantenimiento""}",t,on_create,"[(""description"", ""="", ""Nombre contiene mantenimiento OR Descripción contiene mantenimiento OR Nombre contiene revisión OR Descripción contiene revisión OR Nombre contiene limpiar OR Descripción contiene limpiar OR Nombre contiene limpieza OR Descripción contiene limpieza OR Nombre contiene preventivo OR Descripción contiene preventivo OR Nombre contiene chequeo OR Descripción contiene chequeo OR Nombre contiene diagnóstico OR Descripción contiene diagnóstico"")]"
13,"{""en_US"": ""Confirmación de solucion de ticket-Resuelto"", ""es_DO"": ""Confirmación de solucion de ticket-Resuelto""}",t,on_message_sent,
11,"{""en_US"": ""Cerrar ticket automáticamente"", ""es_DO"": ""Cerrar ticket automáticamente""}",t,on_time_updated,"[(""stage_id"", ""in"", [6])]"
12,"{""en_US"": ""Aviso-cierre ticket proximamente"", ""es_DO"": ""Aviso-cierre ticket proximamente""}",t,on_time_updated,"[(""stage_id"", ""in"", [6])]"
14,"{""en_US"": ""Reabrir ticket si cliente responde"", ""es_DO"": ""Reabrir ticket si cliente responde""}",t,on_message_received,
15,"{""en_US"": ""Recordatorio consolidado tickets pendientes"", ""es_DO"": ""Recordatorio consolidado tickets pendientes""}",t,on_time_created,"[('stage_id', 'in', [1])]"
