case_id,latency_ms,http_status
LONG_30.T01,65,200
LONG_30.T02,13282,200
LONG_30.T03,20935,200
LONG_30.T04,20376,200
LONG_30.T05,17095,200
LONG_30.T06,28466,200
LONG_30.T07,16186,200
LONG_30.T08,13505,200
LONG_30.T09,1748,200
LONG_30.T10,1209,200
LONG_30.T11,13993,200
LONG_30.T12,13707,200
LONG_30.T13,32580,200
LONG_30.T14,16543,200
LONG_30.T15,1423,200
LONG_30.T16,12372,200
LONG_30.T17,17264,200
LONG_30.T18,16484,200
LONG_30.T19,3412,200
LONG_30.T20,17979,200
LONG_30.T21,3334,200
LONG_30.T22,1377,200
LONG_30.T23,6748,200
LONG_30.T24,31423,200
LONG_30.T25,91,200
LONG_30.T26,14935,200
LONG_30.T27,13777,200
LONG_30.T28,10943,200
LONG_30.T29,20668,200
LONG_30.T30,47132,200
G01.T01,16222,200
G01.T02,15047,200
G01.T03,14245,200
G01.T04,18045,200
G01.T05,10655,200
G01.T06,18296,200
G02.T01,19012,200
G02.T02,17943,200
G02.T03,15635,200
G02.T04,22386,200
G02.T05,20270,200
G02.T06,19172,200
G03.T01,20413,200
G03.T02,17053,200
G03.T03,10060,200
G03.T04,13306,200
G03.T05,12384,200
G04.T01,13296,200
G04.T02,11793,200
G04.T03,12514,200
G04.T04,8606,200
G04.T05,9636,200
G04.T06,12359,200
G05.T01,10756,200
G05.T02,8886,200
G05.T03,10628,200
G05.T04,9649,200
G05.T05,10832,200
G05.T06,10193,200
G05.T07,14751,200
G05.T08,12758,200
G06.T01,16785,200
G06.T02,13123,200
G06.T03,5743,200
G06.T04,11064,200
G06.T05,13048,200
G07.T01,15686,200
G07.T02,6027,200
G07.T03,17249,200
G07.T04,5396,200
G07.T05,16871,200
G07.T06,4921,200
G08.T01,4143,200
G08.T02,13911,200
G08.T03,12921,200
G08.T04,3515,200
G08.T05,14913,200
G08.T06,11189,200
G09.T01,4212,200
G09.T02,4231,200
G09.T03,4737,200
G09.T04,24821,200
G09.T05,25318,200
G10.T01,21903,200
G10.T02,26810,200
G10.T03,24126,200
G10.T04,24292,200
G10.T05,23642,200
G10.T06,26184,200
G10.T07,17414,200
G10.T08,15883,200
G11.T01,16520,200
G11.T02,19910,200
G11.T03,26048,200
G11.T04,4523,200
G11.T05,11626,200
G11.T06,4800,200
G12.T01,38908,200
G12.T02,27341,200
G12.T03,5169,200
G12.T04,17406,200
G12.T05,1649,200
G13.T01,15056,200
G13.T02,79,200
G13.T03,3787,200
G13.T04,4188,200
G13.T05,4321,200
G13.T06,3921,200
G14.T01,14412,200
G14.T02,16553,200
G14.T03,15135,200
G14.T04,17326,200
G14.T05,17199,200
G14.T06,18108,200
G15.T01,17951,200
G15.T02,18991,200
G15.T03,15750,200
G15.T04,13593,200
G15.T05,13544,200
G15.T06,1594,200
G15.T07,6395,200
G15.T08,13062,200
G16.T01,12936,200
G16.T02,25338,200
G16.T03,126,200
G16.T04,28018,200
G16.T05,12882,200
G16.T06,1870,200
G17.T01,16114,200
G17.T02,6881,200
G17.T03,98,200
G17.T04,34939,200
G17.T05,27370,200
G17.T06,5984,200
G18.T01,30876,200
G18.T02,6191,200
G18.T03,27134,200
G18.T04,6104,200
G18.T05,6293,200
G19.T01,4787,200
G19.T02,4673,200
G19.T03,30306,200
G19.T04,23366,200
G19.T05,36393,200
G19.T06,4855,200
G20.T01,19755,200
G20.T02,9192,200
G20.T03,4668,200
G20.T04,3793,200
G20.T05,4304,200
G20.T06,10787,200
G20.T07,12258,200
G20.T08,19190,200
G21.T01,4677,200
G21.T02,4793,200
G21.T03,4764,200
G21.T04,3944,200
G21.T05,4655,200
G22.T01,11735,200
G22.T02,86,200
G22.T03,6435,200
G22.T04,6449,200
G22.T05,10510,200
G22.T06,5314,200
G23.T01,91,200
G23.T02,4978,200
G23.T03,107,200
G23.T04,6129,200
G23.T05,4930,200
G23.T06,108,200
G24.T01,4324,200
G24.T02,4610,200
G24.T03,4683,200
G24.T04,3786,200
G24.T05,4657,200
G25.T01,4475,200
G25.T02,4641,200
G25.T03,3725,200
G25.T04,4885,200
G25.T05,24080,200
G25.T06,5324,200
G25.T07,2426,200
G25.T08,1469,200
G26.T01,4224,200
G26.T02,3644,200
G26.T03,4220,200
G26.T04,3870,200
G26.T05,4980,200
G26.T06,4673,200
G27.T01,388,200
G27.T02,30363,200
G27.T03,19254,200
G27.T04,11287,200
G27.T05,12411,200
G28.T01,13048,200
G28.T02,6835,200
G28.T03,5705,200
G28.T04,16941,200
G28.T05,15375,200
G28.T06,22729,200
