case_id,latency_ms,http_status
LONG_30.T01,60,200
LONG_30.T02,15053,200
LONG_30.T03,14845,200
LONG_30.T04,18784,200
LONG_30.T05,15319,200
LONG_30.T06,24920,200
LONG_30.T07,13980,200
LONG_30.T08,10596,200
LONG_30.T09,453,200
LONG_30.T10,615,200
LONG_30.T11,12400,200
LONG_30.T12,15612,200
LONG_30.T13,35153,200
LONG_30.T14,16861,200
LONG_30.T15,470,200
LONG_30.T16,14117,200
LONG_30.T17,17120,200
LONG_30.T18,17067,200
LONG_30.T19,3692,200
LONG_30.T20,19605,200
LONG_30.T21,4226,200
LONG_30.T22,552,200
LONG_30.T23,3873,200
LONG_30.T24,30606,200
LONG_30.T25,80,200
LONG_30.T26,24788,200
LONG_30.T27,14488,200
LONG_30.T28,12758,200
LONG_30.T29,15354,200
LONG_30.T30,11644,200
G01.T01,14606,200
G01.T02,20921,200
G01.T03,17354,200
G01.T04,13818,200
G01.T05,10509,200
G01.T06,14386,200
G02.T01,22065,200
G02.T02,11962,200
G02.T03,14440,200
G02.T04,16277,200
G02.T05,18751,200
G02.T06,22685,200
G03.T01,20442,200
G03.T02,20072,200
G03.T03,17573,200
G03.T04,15217,200
G03.T05,15235,200
G04.T01,14496,200
G04.T02,10898,200
G04.T03,9633,200
G04.T04,10919,200
G04.T05,10631,200
G04.T06,11628,200
G05.T01,10926,200
G05.T02,8608,200
G05.T03,9946,200
G05.T04,11108,200
G05.T05,10977,200
G05.T06,9653,200
G05.T07,13539,200
G05.T08,12574,200
G06.T01,17735,200
G06.T02,9877,200
G06.T03,5370,200
G06.T04,8605,200
G06.T05,14049,200
G07.T01,16015,200
G07.T02,6487,200
G07.T03,13182,200
G07.T04,7168,200
G07.T05,16901,200
G07.T06,5317,200
G08.T01,4080,200
G08.T02,15562,200
G08.T03,12557,200
G08.T04,4323,200
G08.T05,10927,200
G08.T06,10424,200
G09.T01,4225,200
G09.T02,3758,200
G09.T03,4277,200
G09.T04,23017,200
G09.T05,23498,200
G10.T01,22551,200
G10.T02,22753,200
G10.T03,22498,200
G10.T04,17256,200
G10.T05,22602,200
G10.T06,23100,200
G10.T07,16456,200
G10.T08,14019,200
G11.T01,17431,200
G11.T02,19432,200
G11.T03,23276,200
G11.T04,5144,200
G11.T05,14452,200
G11.T06,4304,200
G12.T01,27874,200
G12.T02,24009,200
G12.T03,4563,200
G12.T04,19933,200
G12.T05,1040,200
G13.T01,15492,200
G13.T02,77,200
G13.T03,3838,200
G13.T04,4033,200
G13.T05,3839,200
G13.T06,6216,200
G14.T01,17034,200
G14.T02,26243,200
G14.T03,21917,200
G14.T04,24982,200
G14.T05,20332,200
G14.T06,23475,200
G15.T01,25585,200
G15.T02,22360,200
G15.T03,24626,200
G15.T04,11257,200
G15.T05,7184,200
G15.T06,787,200
G15.T07,5993,200
G15.T08,17465,200
G16.T01,17875,200
G16.T02,23606,200
G16.T03,75,200
G16.T04,26517,200
G16.T05,12380,200
G16.T06,659,200
G17.T01,15742,200
G17.T02,7704,200
G17.T03,104,200
G17.T04,24920,200
G17.T05,30550,200
G17.T06,5923,200
G18.T01,34944,200
G18.T02,5523,200
G18.T03,34068,200
G18.T04,25981,200
G18.T05,4831,200
G19.T01,5625,200
G19.T02,6356,200
G19.T03,27032,200
G19.T04,26183,200
G19.T05,36005,200
G19.T06,5211,200
G20.T01,20806,200
G20.T02,9503,200
G20.T03,3865,200
G20.T04,3420,200
G20.T05,4202,200
G20.T06,9250,200
G20.T07,10242,200
G20.T08,14910,200
G21.T01,3609,200
G21.T02,4154,200
G21.T03,4850,200
G21.T04,4504,200
G21.T05,3990,200
G22.T01,12252,200
G22.T02,73,200
G22.T03,6649,200
G22.T04,7286,200
G22.T05,13302,200
G22.T06,6578,200
G23.T01,70,200
G23.T02,6300,200
G23.T03,66,200
G23.T04,4957,200
G23.T05,6134,200
G23.T06,80,200
G24.T01,5300,200
G24.T02,4281,200
G24.T03,4126,200
G24.T04,4592,200
G24.T05,5014,200
G25.T01,5109,200
G25.T02,5590,200
G25.T03,5610,200
G25.T04,5281,200
G25.T05,22313,200
G25.T06,5985,200
G25.T07,555,200
G25.T08,604,200
G26.T01,7724,200
G26.T02,6071,200
G26.T03,5994,200
G26.T04,4684,200
G26.T05,6159,200
G26.T06,4828,200
G27.T01,92,200
G27.T02,27567,200
G27.T03,22761,200
G27.T04,10286,200
G27.T05,14491,200
G28.T01,14701,200
G28.T02,7498,200
G28.T03,4789,200
G28.T04,17572,200
G28.T05,21029,200
G28.T06,9396,200
