case_id,latency_ms,http_status
LONG_30.T01,78,200
LONG_30.T02,14773,200
LONG_30.T03,23786,200
LONG_30.T04,14153,200
LONG_30.T05,22584,200
LONG_30.T06,24188,200
LONG_30.T07,13665,200
LONG_30.T08,12376,200
LONG_30.T09,15490,200
LONG_30.T10,17498,200
LONG_30.T11,11232,200
LONG_30.T12,17516,200
LONG_30.T13,36105,200
LONG_30.T14,12235,200
LONG_30.T15,212,200
LONG_30.T16,13139,200
LONG_30.T17,3604,200
LONG_30.T18,26237,200
LONG_30.T19,3593,200
LONG_30.T20,4418,200
LONG_30.T21,4497,200
LONG_30.T22,255,200
LONG_30.T23,4325,200
LONG_30.T24,84,200
LONG_30.T25,7815,200
LONG_30.T26,7270,200
LONG_30.T27,14621,200
LONG_30.T28,12864,200
LONG_30.T29,12068,200
LONG_30.T30,10547,200
G01.T01,13051,200
G01.T02,12247,200
G01.T03,16135,200
G01.T04,17008,200
G01.T05,10096,200
G01.T06,13693,200
G02.T01,20866,200
G02.T02,13475,200
G02.T03,15688,200
G02.T04,12455,200
G02.T05,8501,200
G02.T06,12691,200
G03.T01,21333,200
G03.T02,15606,200
G03.T03,13109,200
G03.T04,13561,200
G03.T05,10074,200
G04.T01,13282,200
G04.T02,12693,200
G04.T03,13231,200
G04.T04,79,200
G04.T05,12726,200
G04.T06,16737,200
G05.T01,9512,200
G05.T02,11288,200
G05.T03,10832,200
G05.T04,9045,200
G05.T05,11140,200
G05.T06,10312,200
G05.T07,11311,200
G05.T08,13187,200
G06.T01,24038,200
G06.T02,14324,200
G06.T03,5593,200
G06.T04,9238,200
G06.T05,12373,200
G07.T01,18169,200
G07.T02,5818,200
G07.T03,15260,200
G07.T04,5253,200
G07.T05,14812,200
G07.T06,4523,200
G08.T01,6250,200
G08.T02,12171,200
G08.T03,16831,200
G08.T04,4401,200
G08.T05,10530,200
G08.T06,7435,200
G09.T01,4764,200
G09.T02,5125,200
G09.T03,4943,200
G09.T04,22163,200
G09.T05,22303,200
G10.T01,23955,200
G10.T02,19869,200
G10.T03,16262,200
G10.T04,17163,200
G10.T05,18084,200
G10.T06,16921,200
G10.T07,21709,200
G10.T08,14561,200
G11.T01,15040,200
G11.T02,17033,200
G11.T03,22296,200
G11.T04,3464,200
G11.T05,12269,200
G11.T06,4708,200
G12.T01,36084,200
G12.T02,26190,200
G12.T03,5255,200
G12.T04,13858,200
G12.T05,12222,200
G13.T01,15540,200
G13.T02,81,200
G13.T03,4147,200
G13.T04,5582,200
G13.T05,3814,200
G13.T06,5344,200
G14.T01,20974,200
G14.T02,20721,200
G14.T03,16404,200
G14.T04,22599,200
G14.T05,26474,200
G14.T06,25636,200
G15.T01,24318,200
G15.T02,24013,200
G15.T03,21585,200
G15.T04,17423,200
G15.T05,7132,200
G15.T06,19348,200
G15.T07,6407,200
G15.T08,14447,200
G16.T01,14737,200
G16.T02,23814,200
G16.T03,75,200
G16.T04,21865,200
G16.T05,13102,200
G16.T06,19788,200
G17.T01,17088,200
G17.T02,5635,200
G17.T03,74,200
G17.T04,81,200
G17.T05,93,200
G17.T06,5911,200
G18.T01,30431,200
G18.T02,7112,200
G18.T03,32696,200
G18.T04,9107,200
G18.T05,8723,200
G19.T01,5317,200
G19.T02,7025,200
G19.T03,31779,200
G19.T04,20439,200
G19.T05,34203,200
G19.T06,7609,200
G20.T01,6292,200
G20.T02,27976,200
G20.T03,4461,200
G20.T04,4706,200
G20.T05,6283,200
G20.T06,18700,200
G20.T07,6726,200
G20.T08,16025,200
G21.T01,5547,200
G21.T02,3719,200
G21.T03,4672,200
G21.T04,5512,200
G21.T05,7775,200
G22.T01,6243,200
G22.T02,5377,200
G22.T03,8909,200
G22.T04,4809,200
G22.T05,9748,200
G22.T06,5087,200
G23.T01,6436,200
G23.T02,6332,200
G23.T03,184,200
G23.T04,6789,200
G23.T05,7014,200
G23.T06,90,200
G24.T01,4516,200
G24.T02,4339,200
G24.T03,4241,200
G24.T04,4003,200
G24.T05,4056,200
G25.T01,4693,200
G25.T02,5084,200
G25.T03,4952,200
G25.T04,6080,200
G25.T05,10910,200
G25.T06,5093,200
G25.T07,671,200
G25.T08,482,200
G26.T01,6730,200
G26.T02,8024,200
G26.T03,8505,200
G26.T04,5284,200
G26.T05,5102,200
G26.T06,4770,200
G27.T01,86,200
G27.T02,26822,200
G27.T03,5829,200
G27.T04,11054,200
G27.T05,12115,200
G28.T01,11558,200
G28.T02,8266,200
G28.T03,9966,200
G28.T04,12210,200
G28.T05,10268,200
G28.T06,7921,200
